edge,origin,dest,old_total,revised_total,difference,abs_difference
DC43->DC8,DC43,DC8,141745,123986,-17759,17759
DC30->DC10,DC30,DC10,98282,80569,-17713,17713
DC22->DC5,DC22,DC5,154210,136873,-17337,17337
DC48->DC10,DC48,DC10,87624,70698,-16926,16926
DC40->DC70,DC40,DC70,82204,65457,-16747,16747
DC60->DC10,DC60,DC10,36900,20593,-16307,16307
DC38->DC14,DC38,DC14,142037,125952,-16085,16085
DC26->DC10,DC26,DC10,86535,70990,-15545,15545
DC51->DC10,DC51,DC10,155807,140439,-15368,15368
DC68->DC8,DC68,DC8,49079,33825,-15254,15254
DC26->DC62,DC26,DC62,76996,62022,-14974,14974
DC42->DC10,DC42,DC10,38275,23312,-14963,14963
DC14->DC62,DC14,DC62,738230,752414,14184,14184
DC17->DC62,DC17,DC62,402915,388864,-14051,14051
DC51->DC62,DC51,DC62,165614,151827,-13787,13787
DC47->DC10,DC47,DC10,90819,77258,-13561,13561
DC48->DC62,DC48,DC62,70717,57481,-13236,13236
DC50->DC8,DC50,DC8,102247,89680,-12567,12567
DC46->DC10,DC46,DC10,51227,38862,-12365,12365
DC60->DC14,DC60,DC14,33100,20808,-12292,12292
DC47->DC14,DC47,DC14,78300,66501,-11799,11799
DC25->DC5,DC25,DC5,135236,123503,-11733,11733
DC10->DC8,DC10,DC8,41014,29460,-11554,11554
DC15->DC10,DC15,DC10,194895,183893,-11002,11002
DC19->DC5,DC19,DC5,140243,129262,-10981,10981
DC28->DC10,DC28,DC10,141158,130407,-10751,10751
DC28->DC14,DC28,DC14,98583,87892,-10691,10691
DC53->DC10,DC53,DC10,19431,8747,-10684,10684
DC40->DC35,DC40,DC35,49814,39175,-10639,10639
DC73->DC8,DC73,DC8,12797,2175,-10622,10622
DC42->DC8,DC42,DC8,106070,95581,-10489,10489
DC20->DC14,DC20,DC14,200626,190143,-10483,10483
DC22->DC35,DC22,DC35,33986,23951,-10035,10035
DC15->DC5,DC15,DC5,82287,72631,-9656,9656
DC26->DC8,DC26,DC8,202833,193545,-9288,9288
DC69->DC62,DC69,DC62,7014,16227,9213,9213
DC46->DC14,DC46,DC14,46190,37037,-9153,9153
DC50->DC62,DC50,DC62,40284,31167,-9117,9117
DC31->DC4,DC31,DC4,50214,59234,9020,9020
DC60->DC5,DC60,DC5,28478,19550,-8928,8928
DC8->DC4,DC8,DC4,19059,10310,-8749,8749
DC46->DC5,DC46,DC5,31877,23312,-8565,8565
DC23->DC35,DC23,DC35,63701,55546,-8155,8155
DC44->DC14,DC44,DC14,98855,90804,-8051,8051
DC36->DC5,DC36,DC5,198221,206248,8027,8027
DC25->DC14,DC25,DC14,202264,194425,-7839,7839
DC28->DC5,DC28,DC5,62710,54884,-7826,7826
DC59->DC62,DC59,DC62,9460,17236,7776,7776
DC50->DC10,DC50,DC10,47233,39487,-7746,7746
DC47->DC62,DC47,DC62,87161,79752,-7409,7409
DC43->DC10,DC43,DC10,50679,43640,-7039,7039
