edge,origin,dest,old_total,revised_total,difference,abs_difference
DC40->DC34,DC40,DC34,0,0,0,0
DC9->DC25,DC9,DC25,0,0,0,0
DC9->DC23,DC9,DC23,0,0,0,0
DC10->DC23,DC10,DC23,0,0,0,0
DC9->DC8,DC9,DC8,0,0,0,0
DC40->DC67,DC40,DC67,0,0,0,0
DC1->DC8,DC1,DC8,0,0,0,0
DC40->DC8,DC40,DC8,0,0,0,0
DC40->DC9,DC40,DC9,0,0,0,0
DC41->DC10,DC41,DC10,0,0,0,0
DC41->DC12,DC41,DC12,0,0,0,0
DC41->DC14,DC41,DC14,0,0,0,0
DC41->DC29,DC41,DC29,0,0,0,0
DC41->DC3,DC41,DC3,0,0,0,0
DC41->DC35,DC41,DC35,0,0,0,0
DC41->DC40,DC41,DC40,0,0,0,0
DC41->DC5,DC41,DC5,0,0,0,0
DC41->DC81,DC41,DC81,0,0,0,0
DC10->DC12,DC10,DC12,0,0,0,0
DC10->DC13,DC10,DC13,0,0,0,0
DC42->DC12,DC42,DC12,0,0,0,0
DC10->DC22,DC10,DC22,0,0,0,0
DC42->DC29,DC42,DC29,0,0,0,0
DC42->DC3,DC42,DC3,0,0,0,0
DC42->DC32,DC42,DC32,0,0,0,0
DC42->DC34,DC42,DC34,0,0,0,0
DC9->DC32,DC9,DC32,0,0,0,0
DC9->DC34,DC9,DC34,0,0,0,0
DC42->DC40,DC42,DC40,0,0,0,0
DC9->DC35,DC9,DC35,0,0,0,0
DC9->DC36,DC9,DC36,0,0,0,0
DC42->DC65,DC42,DC65,0,0,0,0
DC9->DC4,DC9,DC4,0,0,0,0
DC9->DC40,DC9,DC40,0,0,0,0
DC42->DC81,DC42,DC81,0,0,0,0
DC9->DC48,DC9,DC48,0,0,0,0
DC9->DC51,DC9,DC51,0,0,0,0
DC43->DC12,DC43,DC12,0,0,0,0
DC9->DC58,DC9,DC58,0,0,0,0
DC43->DC29,DC43,DC29,0,0,0,0
DC43->DC3,DC43,DC3,0,0,0,0
DC43->DC34,DC43,DC34,0,0,0,0
DC9->DC62,DC9,DC62,0,0,0,0
DC9->DC67,DC9,DC67,0,0,0,0
DC43->DC40,DC43,DC40,0,0,0,0
DC43->DC45,DC43,DC45,0,0,0,0
DC9->DC79,DC9,DC79,0,0,0,0
DC10->DC19,DC10,DC19,0,0,0,0
DC43->DC64,DC43,DC64,0,0,0,0
DC43->DC65,DC43,DC65,0,0,0,0
DC10->DC51,DC10,DC51,0,0,0,0
DC10->DC59,DC10,DC59,0,0,0,0
DC10->DC60,DC10,DC60,0,0,0,0
DC10->DC61,DC10,DC61,0,0,0,0
DC44->DC12,DC44,DC12,0,0,0,0
DC10->DC64,DC10,DC64,0,0,0,0
DC44->DC29,DC44,DC29,0,0,0,0
DC10->DC65,DC10,DC65,0,0,0,0
DC44->DC32,DC44,DC32,0,0,0,0
DC44->DC34,DC44,DC34,0,0,0,0
DC10->DC67,DC10,DC67,0,0,0,0
DC10->DC73,DC10,DC73,0,0,0,0
DC44->DC40,DC44,DC40,0,0,0,0
DC10->DC76,DC10,DC76,0,0,0,0
DC10->DC78,DC10,DC78,0,0,0,0
DC44->DC64,DC44,DC64,0,0,0,0
DC44->DC65,DC44,DC65,0,0,0,0
DC10->DC80,DC10,DC80,0,0,0,0
DC10->DC9,DC10,DC9,0,0,0,0
DC44->DC81,DC44,DC81,0,0,0,0
DC11->DC10,DC11,DC10,0,0,0,0
DC45->DC10,DC45,DC10,0,0,0,0
DC45->DC12,DC45,DC12,0,0,0,0
DC45->DC14,DC45,DC14,0,0,0,0
DC45->DC29,DC45,DC29,0,0,0,0
DC45->DC3,DC45,DC3,0,0,0,0
DC45->DC35,DC45,DC35,0,0,0,0
DC45->DC4,DC45,DC4,0,0,0,0
DC45->DC5,DC45,DC5,0,0,0,0
DC45->DC8,DC45,DC8,0,0,0,0
DC45->DC81,DC45,DC81,0,0,0,0
DC11->DC14,DC11,DC14,0,0,0,0
DC11->DC22,DC11,DC22,0,0,0,0
DC46->DC12,DC46,DC12,0,0,0,0
DC46->DC13,DC46,DC13,0,0,0,0
DC11->DC3,DC11,DC3,0,0,0,0
DC46->DC29,DC46,DC29,0,0,0,0
DC11->DC5,DC11,DC5,0,0,0,0
DC46->DC32,DC46,DC32,0,0,0,0
DC46->DC34,DC46,DC34,0,0,0,0
DC11->DC9,DC11,DC9,0,0,0,0
DC12->DC10,DC12,DC10,0,0,0,0
DC46->DC40,DC46,DC40,0,0,0,0
DC12->DC14,DC12,DC14,0,0,0,0
DC46->DC52,DC46,DC52,0,0,0,0
DC12->DC23,DC12,DC23,0,0,0,0
DC46->DC64,DC46,DC64,0,0,0,0
DC46->DC65,DC46,DC65,0,0,0,0
DC12->DC3,DC12,DC3,0,0,0,0
DC12->DC32,DC12,DC32,0,0,0,0
DC46->DC81,DC46,DC81,0,0,0,0
DC12->DC35,DC12,DC35,0,0,0,0
DC12->DC36,DC12,DC36,0,0,0,0
DC47->DC12,DC47,DC12,0,0,0,0
DC12->DC38,DC12,DC38,0,0,0,0
DC47->DC29,DC47,DC29,0,0,0,0
DC12->DC40,DC12,DC40,0,0,0,0
DC47->DC34,DC47,DC34,0,0,0,0
DC12->DC5,DC12,DC5,0,0,0,0
DC12->DC67,DC12,DC67,0,0,0,0
DC47->DC40,DC47,DC40,0,0,0,0
DC12->DC9,DC12,DC9,0,0,0,0
DC13->DC10,DC13,DC10,0,0,0,0
DC47->DC64,DC47,DC64,0,0,0,0
DC47->DC65,DC47,DC65,0,0,0,0
DC13->DC14,DC13,DC14,0,0,0,0
DC13->DC15,DC13,DC15,0,0,0,0
DC47->DC81,DC47,DC81,0,0,0,0
DC13->DC3,DC13,DC3,0,0,0,0
DC13->DC4,DC13,DC4,0,0,0,0
DC48->DC12,DC48,DC12,0,0,0,0
DC13->DC5,DC13,DC5,0,0,0,0
DC48->DC29,DC48,DC29,0,0,0,0
DC48->DC3,DC48,DC3,0,0,0,0
DC48->DC32,DC48,DC32,0,0,0,0
DC48->DC34,DC48,DC34,0,0,0,0
DC13->DC62,DC13,DC62,0,0,0,0
DC40->DC22,DC40,DC22,0,0,0,0
DC48->DC40,DC48,DC40,0,0,0,0
DC13->DC8,DC13,DC8,0,0,0,0
DC48->DC50,DC48,DC50,0,0,0,0
DC13->DC9,DC13,DC9,0,0,0,0
DC48->DC64,DC48,DC64,0,0,0,0
DC48->DC65,DC48,DC65,0,0,0,0
DC14->DC11,DC14,DC11,0,0,0,0
DC14->DC12,DC14,DC12,0,0,0,0
DC14->DC13,DC14,DC13,0,0,0,0
DC49->DC10,DC49,DC10,0,0,0,0
DC49->DC12,DC49,DC12,0,0,0,0
DC49->DC14,DC49,DC14,0,0,0,0
DC49->DC3,DC49,DC3,0,0,0,0
DC49->DC35,DC49,DC35,0,0,0,0
DC49->DC5,DC49,DC5,0,0,0,0
DC49->DC9,DC49,DC9,0,0,0,0
DC14->DC17,DC14,DC17,0,0,0,0
DC5->DC12,DC5,DC12,0,0,0,0
DC14->DC19,DC14,DC19,0,0,0,0
DC5->DC15,DC5,DC15,0,0,0,0
DC5->DC19,DC5,DC19,0,0,0,0
DC5->DC20,DC5,DC20,0,0,0,0
DC5->DC21,DC5,DC21,0,0,0,0
DC5->DC22,DC5,DC22,0,0,0,0
DC5->DC23,DC5,DC23,0,0,0,0
DC5->DC3,DC5,DC3,0,0,0,0
DC5->DC30,DC5,DC30,0,0,0,0
DC5->DC31,DC5,DC31,0,0,0,0
DC5->DC32,DC5,DC32,0,0,0,0
DC14->DC20,DC14,DC20,0,0,0,0
DC5->DC36,DC5,DC36,0,0,0,0
DC14->DC21,DC14,DC21,0,0,0,0
DC5->DC40,DC5,DC40,0,0,0,0
DC5->DC51,DC5,DC51,0,0,0,0
DC5->DC61,DC5,DC61,0,0,0,0
DC14->DC22,DC14,DC22,0,0,0,0
DC14->DC23,DC14,DC23,0,0,0,0
DC14->DC25,DC14,DC25,0,0,0,0
DC5->DC9,DC5,DC9,0,0,0,0
DC14->DC30,DC14,DC30,0,0,0,0
DC50->DC12,DC50,DC12,0,0,0,0
DC14->DC32,DC14,DC32,0,0,0,0
DC50->DC29,DC50,DC29,0,0,0,0
DC50->DC3,DC50,DC3,0,0,0,0
DC50->DC32,DC50,DC32,0,0,0,0
DC50->DC34,DC50,DC34,0,0,0,0
DC14->DC33,DC14,DC33,0,0,0,0
DC14->DC34,DC14,DC34,0,0,0,0
DC50->DC40,DC50,DC40,0,0,0,0
DC50->DC48,DC50,DC48,0,0,0,0
DC14->DC36,DC14,DC36,0,0,0,0
DC14->DC38,DC14,DC38,0,0,0,0
DC50->DC64,DC50,DC64,0,0,0,0
DC50->DC65,DC50,DC65,0,0,0,0
DC14->DC40,DC14,DC40,0,0,0,0
DC14->DC43,DC14,DC43,0,0,0,0
DC14->DC61,DC14,DC61,0,0,0,0
DC14->DC64,DC14,DC64,0,0,0,0
DC51->DC12,DC51,DC12,0,0,0,0
DC14->DC65,DC14,DC65,0,0,0,0
DC51->DC29,DC51,DC29,0,0,0,0
DC14->DC67,DC14,DC67,0,0,0,0
DC51->DC32,DC51,DC32,0,0,0,0
DC51->DC34,DC51,DC34,0,0,0,0
DC14->DC76,DC14,DC76,0,0,0,0
DC14->DC78,DC14,DC78,0,0,0,0
DC51->DC40,DC51,DC40,0,0,0,0
DC14->DC81,DC14,DC81,0,0,0,0
DC15->DC12,DC15,DC12,0,0,0,0
DC51->DC64,DC51,DC64,0,0,0,0
DC51->DC65,DC51,DC65,0,0,0,0
DC15->DC13,DC15,DC13,0,0,0,0
DC15->DC32,DC15,DC32,0,0,0,0
DC51->DC81,DC51,DC81,0,0,0,0
DC15->DC33,DC15,DC33,0,0,0,0
DC15->DC34,DC15,DC34,0,0,0,0
DC15->DC40,DC15,DC40,0,0,0,0
DC52->DC3,DC52,DC3,0,0,0,0
DC52->DC35,DC52,DC35,0,0,0,0
DC52->DC4,DC52,DC4,0,0,0,0
DC52->DC40,DC52,DC40,0,0,0,0
DC52->DC46,DC52,DC46,0,0,0,0
DC15->DC64,DC15,DC64,0,0,0,0
DC15->DC65,DC15,DC65,0,0,0,0
DC52->DC64,DC52,DC64,0,0,0,0
DC52->DC65,DC52,DC65,0,0,0,0
DC52->DC70,DC52,DC70,0,0,0,0
DC15->DC81,DC15,DC81,0,0,0,0
DC52->DC9,DC52,DC9,0,0,0,0
DC16->DC10,DC16,DC10,0,0,0,0
DC16->DC14,DC16,DC14,0,0,0,0
DC53->DC25,DC53,DC25,0,0,0,0
DC53->DC3,DC53,DC3,0,0,0,0
DC53->DC33,DC53,DC33,0,0,0,0
DC53->DC35,DC53,DC35,0,0,0,0
DC16->DC35,DC16,DC35,0,0,0,0
DC16->DC4,DC16,DC4,0,0,0,0
DC16->DC5,DC16,DC5,0,0,0,0
DC53->DC64,DC53,DC64,0,0,0,0
DC53->DC65,DC53,DC65,0,0,0,0
DC53->DC70,DC53,DC70,2,2,0,0
DC16->DC62,DC16,DC62,0,0,0,0
DC54->DC23,DC54,DC23,0,0,0,0
DC54->DC37,DC54,DC37,0,0,0,0
DC16->DC70,DC16,DC70,0,0,0,0
DC16->DC8,DC16,DC8,0,0,0,0
DC55->DC20,DC55,DC20,0,0,0,0
DC55->DC3,DC55,DC3,0,0,0,0
DC55->DC33,DC55,DC33,0,0,0,0
DC55->DC35,DC55,DC35,0,0,0,0
DC17->DC12,DC17,DC12,0,0,0,0
DC17->DC29,DC17,DC29,0,0,0,0
DC17->DC32,DC17,DC32,0,0,0,0
DC17->DC34,DC17,DC34,0,0,0,0
DC55->DC9,DC55,DC9,0,0,0,0
DC56->DC10,DC56,DC10,0,0,0,0
DC56->DC12,DC56,DC12,0,0,0,0
DC56->DC14,DC56,DC14,0,0,0,0
DC56->DC3,DC56,DC3,0,0,0,0
DC17->DC40,DC17,DC40,0,0,0,0
DC56->DC4,DC56,DC4,0,0,0,0
DC56->DC40,DC56,DC40,0,0,0,0
DC56->DC5,DC56,DC5,1,1,0,0
DC56->DC61,DC56,DC61,0,0,0,0
DC56->DC62,DC56,DC62,0,0,0,0
DC17->DC61,DC17,DC61,0,0,0,0
DC56->DC8,DC56,DC8,0,0,0,0
DC56->DC9,DC56,DC9,0,0,0,0
DC57->DC10,DC57,DC10,0,0,0,0
DC57->DC14,DC57,DC14,0,0,0,0
DC57->DC32,DC57,DC32,0,0,0,0
DC57->DC35,DC57,DC35,0,0,0,0
DC57->DC4,DC57,DC4,0,0,0,0
DC57->DC40,DC57,DC40,0,0,0,0
DC57->DC5,DC57,DC5,0,0,0,0
DC57->DC62,DC57,DC62,0,0,0,0
DC57->DC70,DC57,DC70,0,0,0,0
DC57->DC8,DC57,DC8,0,0,0,0
DC58->DC10,DC58,DC10,0,0,0,0
DC58->DC12,DC58,DC12,0,0,0,0
DC58->DC14,DC58,DC14,0,0,0,0
DC58->DC29,DC58,DC29,0,0,0,0
DC58->DC3,DC58,DC3,0,0,0,0
DC58->DC34,DC58,DC34,0,0,0,0
DC58->DC35,DC58,DC35,0,0,0,0
DC58->DC4,DC58,DC4,0,0,0,0
DC58->DC40,DC58,DC40,0,0,0,0
DC58->DC5,DC58,DC5,0,0,0,0
DC58->DC70,DC58,DC70,0,0,0,0
DC58->DC8,DC58,DC8,0,0,0,0
DC58->DC81,DC58,DC81,0,0,0,0
DC17->DC64,DC17,DC64,0,0,0,0
DC17->DC65,DC17,DC65,0,0,0,0
DC17->DC81,DC17,DC81,0,0,0,0
DC59->DC3,DC59,DC3,0,0,0,0
DC17->DC9,DC17,DC9,0,0,0,0
DC18->DC10,DC18,DC10,0,0,0,0
DC59->DC40,DC59,DC40,0,0,0,0
DC18->DC14,DC18,DC14,0,0,0,0
DC18->DC23,DC18,DC23,0,0,0,0
DC59->DC64,DC59,DC64,0,0,0,0
DC59->DC65,DC59,DC65,0,0,0,0
DC18->DC4,DC18,DC4,0,0,0,0
DC18->DC62,DC18,DC62,0,0,0,0
DC6->DC10,DC6,DC10,0,0,0,0
DC6->DC14,DC6,DC14,0,0,0,0
DC6->DC23,DC6,DC23,0,0,0,0
DC6->DC4,DC6,DC4,0,0,0,0
DC6->DC62,DC6,DC62,0,0,0,0
DC6->DC70,DC6,DC70,0,0,0,0
DC18->DC8,DC18,DC8,0,0,0,0
DC19->DC12,DC19,DC12,0,0,0,0
DC60->DC3,DC60,DC3,0,0,0,0
DC60->DC34,DC60,DC34,0,0,0,0
DC19->DC20,DC19,DC20,0,0,0,0
DC19->DC32,DC19,DC32,0,0,0,0
DC60->DC40,DC60,DC40,0,0,0,0
DC19->DC34,DC19,DC34,0,0,0,0
DC19->DC36,DC19,DC36,0,0,0,0
DC60->DC64,DC60,DC64,0,0,0,0
DC19->DC40,DC19,DC40,0,0,0,0
DC19->DC64,DC19,DC64,0,0,0,0
DC61->DC10,DC61,DC10,0,0,0,0
DC61->DC14,DC61,DC14,0,0,0,0
DC61->DC3,DC61,DC3,0,0,0,0
DC61->DC4,DC61,DC4,0,0,0,0
DC61->DC5,DC61,DC5,0,0,0,0
DC19->DC65,DC19,DC65,0,0,0,0
DC19->DC81,DC19,DC81,0,0,0,0
DC62->DC15,DC62,DC15,0,0,0,0
DC62->DC17,DC62,DC17,0,0,0,0
DC62->DC20,DC62,DC20,0,0,0,0
DC62->DC21,DC62,DC21,0,0,0,0
DC62->DC22,DC62,DC22,0,0,0,0
DC62->DC23,DC62,DC23,0,0,0,0
DC19->DC9,DC19,DC9,0,0,0,0
DC62->DC30,DC62,DC30,0,0,0,0
DC62->DC32,DC62,DC32,0,0,0,0
DC62->DC33,DC62,DC33,0,0,0,0
DC62->DC34,DC62,DC34,0,0,0,0
DC2->DC10,DC2,DC10,0,0,0,0
DC62->DC38,DC62,DC38,0,0,0,0
DC2->DC14,DC2,DC14,0,0,0,0
DC62->DC40,DC62,DC40,0,0,0,0
DC2->DC3,DC2,DC3,0,0,0,0
DC62->DC50,DC62,DC50,0,0,0,0
DC62->DC64,DC62,DC64,0,0,0,0
DC62->DC65,DC62,DC65,0,0,0,0
DC2->DC4,DC2,DC4,0,0,0,0
DC62->DC73,DC62,DC73,0,0,0,0
DC62->DC76,DC62,DC76,0,0,0,0
DC2->DC5,DC2,DC5,0,0,0,0
DC62->DC9,DC62,DC9,0,0,0,0
DC63->DC10,DC63,DC10,0,0,0,0
DC63->DC14,DC63,DC14,0,0,0,0
DC63->DC8,DC63,DC8,0,0,0,0
DC64->DC10,DC64,DC10,0,0,0,0
DC64->DC14,DC64,DC14,0,0,0,0
DC64->DC30,DC64,DC30,0,0,0,0
DC64->DC4,DC64,DC4,0,0,0,0
DC64->DC5,DC64,DC5,0,0,0,0
DC64->DC62,DC64,DC62,0,0,0,0
DC64->DC8,DC64,DC8,0,0,0,0
DC65->DC10,DC65,DC10,0,0,0,0
DC65->DC14,DC65,DC14,0,0,0,0
DC65->DC4,DC65,DC4,0,0,0,0
DC65->DC43,DC65,DC43,0,0,0,0
DC65->DC5,DC65,DC5,0,0,0,0
DC65->DC62,DC65,DC62,0,0,0,0
DC65->DC8,DC65,DC8,0,0,0,0
DC66->DC10,DC66,DC10,0,0,0,0
DC66->DC14,DC66,DC14,0,0,0,0
DC66->DC3,DC66,DC3,0,0,0,0
DC66->DC4,DC66,DC4,0,0,0,0
DC66->DC5,DC66,DC5,0,0,0,0
DC66->DC8,DC66,DC8,0,0,0,0
DC66->DC9,DC66,DC9,0,0,0,0
DC67->DC10,DC67,DC10,0,0,0,0
DC67->DC12,DC67,DC12,0,0,0,0
DC67->DC14,DC67,DC14,0,0,0,0
DC67->DC3,DC67,DC3,0,0,0,0
DC67->DC32,DC67,DC32,0,0,0,0
DC67->DC34,DC67,DC34,0,0,0,0
DC67->DC35,DC67,DC35,0,0,0,0
DC67->DC40,DC67,DC40,0,0,0,0
DC67->DC5,DC67,DC5,0,0,0,0
DC67->DC9,DC67,DC9,0,0,0,0
DC2->DC62,DC2,DC62,0,0,0,0
DC2->DC8,DC2,DC8,0,0,0,0
DC68->DC3,DC68,DC3,0,0,0,0
DC68->DC35,DC68,DC35,0,0,0,0
DC2->DC9,DC2,DC9,0,0,0,0
DC68->DC40,DC68,DC40,0,0,0,0
DC20->DC12,DC20,DC12,0,0,0,0
DC20->DC32,DC20,DC32,0,0,0,0
DC68->DC64,DC68,DC64,0,0,0,0
DC68->DC65,DC68,DC65,0,0,0,0
DC20->DC33,DC20,DC33,0,0,0,0
DC20->DC34,DC20,DC34,0,0,0,0
DC20->DC40,DC20,DC40,0,0,0,0
DC20->DC64,DC20,DC64,0,0,0,0
DC69->DC3,DC69,DC3,0,0,0,0
DC20->DC65,DC20,DC65,0,0,0,0
DC20->DC76,DC20,DC76,0,0,0,0
DC20->DC81,DC20,DC81,0,0,0,0
DC20->DC9,DC20,DC9,0,0,0,0
DC21->DC10,DC21,DC10,0,0,0,0
DC7->DC12,DC7,DC12,0,0,0,0
DC21->DC12,DC21,DC12,0,0,0,0
DC7->DC3,DC7,DC3,0,0,0,0
DC7->DC34,DC7,DC34,0,0,0,0
DC7->DC35,DC7,DC35,0,0,0,0
DC7->DC4,DC7,DC4,0,0,0,0
DC7->DC40,DC7,DC40,0,0,0,0
DC21->DC14,DC21,DC14,0,0,0,0
DC21->DC20,DC21,DC20,0,0,0,0
DC7->DC65,DC7,DC65,0,0,0,0
DC7->DC70,DC7,DC70,0,0,0,0
DC21->DC32,DC21,DC32,0,0,0,0
DC21->DC33,DC21,DC33,0,0,0,0
DC70->DC10,DC70,DC10,0,0,0,0
DC70->DC14,DC70,DC14,1,1,0,0
DC70->DC3,DC70,DC3,0,0,0,0
DC70->DC32,DC70,DC32,0,0,0,0
DC70->DC34,DC70,DC34,0,0,0,0
DC21->DC34,DC21,DC34,0,0,0,0
DC70->DC38,DC70,DC38,0,0,0,0
DC70->DC4,DC70,DC4,0,0,0,0
DC70->DC40,DC70,DC40,0,0,0,0
DC70->DC5,DC70,DC5,0,0,0,0
DC70->DC62,DC70,DC62,0,0,0,0
DC70->DC8,DC70,DC8,0,0,0,0
DC21->DC35,DC21,DC35,0,0,0,0
DC71->DC12,DC71,DC12,0,0,0,0
DC21->DC4,DC21,DC4,0,0,0,0
DC71->DC3,DC71,DC3,0,0,0,0
DC71->DC35,DC71,DC35,0,0,0,0
DC21->DC40,DC21,DC40,0,0,0,0
DC71->DC40,DC71,DC40,0,0,0,0
DC21->DC62,DC21,DC62,0,0,0,0
DC21->DC70,DC21,DC70,0,0,0,0
DC71->DC70,DC71,DC70,0,0,0,0
DC21->DC76,DC21,DC76,0,0,0,0
DC71->DC9,DC71,DC9,0,0,0,0
DC72->DC10,DC72,DC10,0,0,0,0
DC72->DC14,DC72,DC14,0,0,0,0
DC72->DC3,DC72,DC3,0,0,0,0
DC72->DC35,DC72,DC35,0,0,0,0
DC72->DC4,DC72,DC4,0,0,0,0
DC72->DC5,DC72,DC5,0,0,0,0
DC72->DC62,DC72,DC62,0,0,0,0
DC72->DC8,DC72,DC8,0,0,0,0
DC72->DC9,DC72,DC9,0,0,0,0
DC21->DC8,DC21,DC8,0,0,0,0
DC73->DC12,DC73,DC12,0,0,0,0
DC21->DC81,DC21,DC81,0,0,0,0
DC73->DC20,DC73,DC20,0,0,0,0
DC21->DC9,DC21,DC9,0,0,0,0
DC73->DC34,DC73,DC34,0,0,0,0
DC73->DC35,DC73,DC35,0,0,0,0
DC22->DC12,DC22,DC12,0,0,0,0
DC73->DC40,DC73,DC40,0,0,0,0
DC22->DC13,DC22,DC13,0,0,0,0
DC22->DC20,DC22,DC20,0,0,0,0
DC73->DC64,DC73,DC64,0,0,0,0
DC73->DC70,DC73,DC70,0,0,0,0
DC22->DC21,DC22,DC21,0,0,0,0
DC73->DC9,DC73,DC9,0,0,0,0
DC74->DC10,DC74,DC10,0,0,0,0
DC74->DC14,DC74,DC14,0,0,0,0
DC74->DC3,DC74,DC3,0,0,0,0
DC74->DC4,DC74,DC4,0,0,0,0
DC74->DC5,DC74,DC5,0,0,0,0
DC74->DC8,DC74,DC8,0,0,0,0
DC74->DC9,DC74,DC9,0,0,0,0
DC75->DC35,DC75,DC35,0,0,0,0
DC76->DC10,DC76,DC10,0,0,0,0
DC76->DC14,DC76,DC14,0,0,0,0
DC76->DC3,DC76,DC3,0,0,0,0
DC76->DC4,DC76,DC4,0,0,0,0
DC76->DC5,DC76,DC5,0,0,0,0
DC76->DC62,DC76,DC62,0,0,0,0
DC76->DC8,DC76,DC8,0,0,0,0
DC77->DC6,DC77,DC6,0,0,0,0
DC22->DC32,DC22,DC32,0,0,0,0
DC8->DC13,DC8,DC13,0,0,0,0
DC22->DC34,DC22,DC34,0,0,0,0
DC8->DC15,DC8,DC15,0,0,0,0
DC8->DC25,DC8,DC25,0,0,0,0
DC8->DC27,DC8,DC27,0,0,0,0
DC22->DC40,DC22,DC40,0,0,0,0
DC8->DC32,DC8,DC32,0,0,0,0
DC8->DC33,DC8,DC33,0,0,0,0
DC8->DC34,DC8,DC34,0,0,0,0
DC22->DC64,DC22,DC64,0,0,0,0
DC8->DC38,DC8,DC38,0,0,0,0
DC22->DC65,DC22,DC65,0,0,0,0
DC8->DC40,DC8,DC40,0,0,0,0
DC8->DC43,DC8,DC43,0,0,0,0
DC8->DC44,DC8,DC44,0,0,0,0
DC22->DC76,DC22,DC76,0,0,0,0
DC10->DC17,DC10,DC17,0,0,0,0
DC10->DC25,DC10,DC25,0,0,0,0
DC10->DC27,DC10,DC27,0,0,0,0
DC10->DC28,DC10,DC28,0,0,0,0
DC22->DC81,DC22,DC81,0,0,0,0
DC10->DC30,DC10,DC30,0,0,0,0
DC10->DC32,DC10,DC32,0,0,0,0
DC10->DC33,DC10,DC33,0,0,0,0
DC10->DC34,DC10,DC34,0,0,0,0
DC22->DC9,DC22,DC9,0,0,0,0
DC10->DC36,DC10,DC36,0,0,0,0
DC10->DC38,DC10,DC38,0,0,0,0
DC23->DC18,DC23,DC18,0,0,0,0
DC10->DC40,DC10,DC40,0,0,0,0
DC10->DC47,DC10,DC47,0,0,0,0
DC10->DC21,DC10,DC21,0,0,0,0
DC10->DC20,DC10,DC20,0,0,0,0
DC23->DC20,DC23,DC20,0,0,0,0
DC8->DC64,DC8,DC64,0,0,0,0
DC8->DC65,DC8,DC65,0,0,0,0
DC23->DC29,DC23,DC29,0,0,0,0
DC8->DC76,DC8,DC76,0,0,0,0
DC8->DC78,DC8,DC78,0,0,0,0
DC8->DC9,DC8,DC9,0,0,0,0
DC9->DC10,DC9,DC10,0,0,0,0
DC9->DC12,DC9,DC12,0,0,0,0
DC9->DC13,DC9,DC13,0,0,0,0
DC23->DC32,DC23,DC32,0,0,0,0
DC9->DC19,DC9,DC19,0,0,0,0
DC9->DC21,DC9,DC21,0,0,0,0
DC9->DC22,DC9,DC22,0,0,0,0
DC8->DC59,DC8,DC59,0,0,0,0
