year,water_volume_1e8_m3,water_volume_1e8_m3_lower80,water_volume_1e8_m3_upper80,water_volume_1e8_m3_lower95,water_volume_1e8_m3_upper95,sediment_mass_1e4_t,sediment_mass_1e4_t_lower80,sediment_mass_1e4_t_upper80,sediment_mass_1e4_t_lower95,sediment_mass_1e4_t_upper95,water_model,sediment_model
2022,458.3855405347657,323.07859907002285,648.3303146135737,191.09968810934302,1077.428343312188,34164.05371952105,18084.40047680098,64531.36868466917,5610.829253758994,207713.07844849658,fourier_ridge_alpha_1,fourier_ridge_alpha_1
2023,483.87970178905357,312.520578211753,745.7229154508365,161.55832411522002,1404.795650107554,37734.74574358872,17037.72474807424,83556.31768747853,3943.220893969453,360224.975993821,fourier_ridge_alpha_1,fourier_ridge_alpha_1
