year,optimized_base_cost_units,optimized_expected_cost_units,optimized_worst_case_cost_units,old_r04_cost_units,expected_cost_reduction_vs_old_pct,optimized_base_visits,optimized_expected_visits,old_r04_visits,old_r04_assays
2022,270.0,346.66666666666663,1825.0,527.0,34.21884882985453,54.0,69.33333333333334,85.0,187.0
2023,270.0,346.66666666666663,1825.0,735.0,52.83446712018141,54.0,69.33333333333334,112.0,287.0
2022-2023 total,540.0,693.3333333333333,3650.0,1262.0,45.06075013206551,108.0,138.66666666666669,197.0,474.0
