date,year,month,water_volume_1e8_m3,water_volume_1e8_m3_lower80,water_volume_1e8_m3_upper80,water_volume_1e8_m3_lower95,water_volume_1e8_m3_upper95,water_volume_1e8_m3_model,sediment_mass_1e4_t,sediment_mass_1e4_t_lower80,sediment_mass_1e4_t_upper80,sediment_mass_1e4_t_lower95,sediment_mass_1e4_t_upper95,sediment_mass_1e4_t_model
2022-01-01,2022,1,11.929785440995394,8.21051779550716,17.150917816121655,4.582729833492408,28.945807254941705,fourier_ridge_alpha_1,140.33476728134525,73.83750379751379,265.91852919786504,22.253160548165976,858.0452210182475,fourier_ridge_alpha_1
2022-02-01,2022,2,15.09798228617376,10.467379176181279,21.59845337845202,5.950671097998971,36.283455084009,fourier_ridge_alpha_1,250.77413005401445,132.315728157144,474.4893772903934,40.42324199937716,1529.3054397675812,fourier_ridge_alpha_1
2022-03-01,2022,3,24.25099652429394,16.987518346893317,34.44751494749851,9.902693804541308,57.4821363326116,fourier_ridge_alpha_1,765.8512521862945,405.0517776449108,1447.2410257884464,125.16651675064264,4659.989762774698,fourier_ridge_alpha_1
2022-04-01,2022,4,33.97088535481522,23.911469981853745,48.09235879658938,14.099477548557044,79.99371773406162,fourier_ridge_alpha_1,1612.7951575319423,853.5130370490717,3046.741459237662,264.5103101082199,9807.789758153047,fourier_ridge_alpha_1
2022-05-01,2022,5,39.416914614132835,27.790942664266325,55.73753047876215,16.45092492243739,92.60690016067913,fourier_ridge_alpha_1,2195.4432159195408,1162.028253233612,4147.104560096126,360.37072085764396,13349.17621048345,fourier_ridge_alpha_1
2022-06-01,2022,6,53.70500503419608,37.969047450178124,75.7952457554294,22.62013391787942,125.69858630759587,fourier_ridge_alpha_1,4561.928988352251,2415.0949358896273,8616.3438979868,749.7177630598457,27732.88612503836,fourier_ridge_alpha_1
2022-07-01,2022,7,68.88589379004358,48.78313610427289,97.10627720606888,29.17482896235301,160.8580226892659,fourier_ridge_alpha_1,7978.882623746836,4224.389885629307,15069.449925899025,1311.8934612113428,48501.43265742493,fourier_ridge_alpha_1
2022-08-01,2022,8,51.88675593876046,36.67381979720592,73.2427757201688,21.8350633909065,121.48746175322002,fourier_ridge_alpha_1,4933.334425989735,2611.7560716049666,9317.763619809,810.8233950000355,29990.32123743044,fourier_ridge_alpha_1
2022-09-01,2022,9,52.359317553163905,37.0104485199948,73.90616082158706,22.039102648551783,122.58192995500013,fourier_ridge_alpha_1,4671.453849167019,2473.0889266451445,8823.187658525101,767.7373857013973,28398.58791997127,fourier_ridge_alpha_1
2022-10-01,2022,10,64.28831188419572,45.50805391877504,90.65216149728508,27.18971808910361,150.2098721673862,fourier_ridge_alpha_1,5909.482979192903,3128.63187267279,11161.274180667326,971.4246360330278,35923.43851468044,fourier_ridge_alpha_1
2022-11-01,2022,11,25.84691506771542,18.12436908671749,36.68787589200601,10.591768043618313,61.178336034762864,fourier_ridge_alpha_1,853.3834729472196,451.40054963928173,1612.550468555773,139.56779126818276,5192.018345523224,fourier_ridge_alpha_1
2022-12-01,2022,12,16.74677704627936,11.641896228176728,23.913042303604733,6.662575849903258,40.10211783865399,fourier_ridge_alpha_1,290.38885715195084,153.29193483761162,549.3039816156495,46.94087122111276,1770.0872562309112,fourier_ridge_alpha_1
2023-01-01,2023,1,12.630559607312945,7.92030278544587,19.828009954061738,3.7707076407096203,37.944359872967496,fourier_ridge_alpha_1,155.10133250261606,69.5089855972358,344.5960371956846,15.356780954969818,1488.7568217228268,fourier_ridge_alpha_1
2023-02-01,2023,2,15.970467770752663,10.106052523665014,24.931515787853982,4.939678383924131,47.48693106644029,fourier_ridge_alpha_1,277.07932858361954,124.60489433146155,614.6456991353677,28.138013063861035,2652.856761476447,fourier_ridge_alpha_1
2023-03-01,2023,3,25.619561077723763,16.420748059497782,39.67569484103394,8.316869379133884,75.05570102309828,fourier_ridge_alpha_1,845.9713758348563,381.56619327070814,1874.1278186673885,87.74828323088138,8082.091698994936,fourier_ridge_alpha_1
2023-04-01,2023,4,35.8662526941839,23.12653229735659,55.333026684499245,11.903220299048783,104.33189050578446,fourier_ridge_alpha_1,1781.4034335128201,804.0889509217542,3945.100609331373,185.765750605407,17009.410043062333,fourier_ridge_alpha_1
2023-05-01,2023,5,41.60744822917988,26.88376633601908,64.10579032708337,13.912643697257495,120.73526582252504,fourier_ridge_alpha_1,2424.9261848066635,1094.7599892468802,5369.809220891047,253.19605702048204,23150.88489983702,fourier_ridge_alpha_1
2023-06-01,2023,6,56.669930822886116,36.74116832883828,87.12183269311215,19.184525620527697,163.77082412747438,fourier_ridge_alpha_1,5038.66086262918,2275.3506850405574,11156.411631355815,527.0712694491461,48095.12467046394,fourier_ridge_alpha_1
