ballast_mass_kg,barrel_angle_deg,anchor_angle_deg,draft_m,horizontal_tension_n,excursion_radius_m,chain_state,feasible
1200.0,8.063620286417596,17.90061903756911,0.7699855948873033,1992.6233362825687,18.71448738850879,fully suspended,False
1250.0,7.711401527116501,17.619217195272622,0.7849279560955932,1968.416711125139,18.690059597711084,fully suspended,False
1300.0,7.380699949797356,17.334047428317785,0.7998751357471082,1944.2022800896846,18.66683774329779,fully suspended,False
1350.0,7.06962849391219,17.044717613634717,0.8148268346478298,1919.9805278705157,18.64469248770443,fully suspended,False
1400.0,6.776511360807778,16.750853965319134,0.8297828002005595,1895.7518636750935,18.62350510187935,fully suspended,False
1450.0,6.499855698927017,16.452095973761644,0.8447428188195467,1871.5166335123345,18.603166126375573,fully suspended,False
1500.0,6.238327649699557,16.14809213203386,0.8597067097646751,1847.2751301812264,18.58357418584753,fully suspended,False
1550.0,5.990732004358386,15.838496281490153,0.8746743201065226,1823.0276014274334,18.56463493709808,fully suspended,False
1600.0,5.755994862710053,15.522964443785435,0.8896455205969309,1798.774256632972,18.54626013284198,fully suspended,False
1650.0,5.533148797296199,15.201152035285583,0.904620202270022,1774.5152723225642,18.528366785072212,fully suspended,False
1700.0,5.321320116525659,14.872711379100352,0.9195982736340943,1750.2507967127676,18.510876414010543,fully suspended,False
1750.0,5.119717892809401,14.537289447355134,0.934579658345018,1725.980953481071,18.49371437010687,fully suspended,False
1800.0,4.927624480244553,14.194525778645,0.9495642932739247,1701.7058448962418,18.47680921806617,fully suspended,True
1850.0,4.744387293811718,13.844050524576245,0.964552126898726,1677.4255544240639,18.460092173290754,fully suspended,True
1900.0,4.569411660589668,13.48548258806588,0.9795431179639792,1653.1401488983538,18.44349658206306,fully suspended,True
1950.0,4.402154584976676,13.118427821217091,0.9945372343636946,1628.849680330815,18.426957437856856,fully suspended,True
2000.0,4.2421192956899505,12.742477255392439,1.009534452210529,1604.554187418943,18.410410926931352,fully suspended,True
2050.0,4.088850463517142,12.357205339562558,1.0245347550615878,1580.253696800228,18.39379399704021,fully suspended,True
2100.0,3.9419299962872434,11.962168165707268,1.0395381332765417,1555.9482240920024,18.37704394363444,fully suspended,True
2150.0,3.8009733320043044,11.5569016630471,1.0545445834890148,1531.637774747796,18.36009800823977,fully suspended,True
2200.0,3.6656261631379206,11.140919742443568,1.0695541081739648,1507.322344758177,18.342892984309422,fully suspended,True
