date,year,month,sampling_level,risk_score,pred_mean_flow_m3s,pred_mean_sediment_flux_kg_s,change_strength
2022-01-01,2022,1,base_regular,0.09274376030302384,1108.9445475868874,4312.535875936855,0.0
2022-01-11,2022,1,base_regular,0.15190494073638677,1115.0683936265095,4326.070846729087,0.006061115409194073
2022-01-21,2022,1,base_regular,0.12561443258111793,1087.9404085990595,4342.926181860348,0.0
2022-01-31,2022,1,base_regular,0.11989108194385618,1052.6381913674484,4309.401601378577,0.0006949847007060583
2022-02-01,2022,2,base_regular,0.1165009344789956,1053.164191062775,4309.401601378577,0.0
2022-02-11,2022,2,base_regular,0.14256549387808032,1053.164191062775,4317.388943936121,0.0
2022-02-21,2022,2,base_regular,0.17423968643302537,1052.6381913674484,4322.6441235808,0.00079224048862514
2022-03-01,2022,3,base_regular,0.1940153064557629,1038.4576753312754,4317.388943936121,0.0012161907392336246
2022-03-11,2022,3,base_regular,0.2420327611514695,1043.3994974622851,4365.0863331426035,0.005088442538685456
2022-03-21,2022,3,base_regular,0.23308659169614093,1036.67213060886,4441.387801265203,0.0
2022-03-31,2022,3,base_regular,0.24609936629370865,1040.7041022550088,4478.480353869211,0.0
2022-04-01,2022,4,base_regular,0.2542254784677018,1040.7041022550088,4482.485653538468,0.0008937443102112752
2022-04-06,2022,4,base_regular,0.2413933013016793,1038.4576753312754,4463.923080165139,0.0
2022-04-11,2022,4,base_regular,0.2434094560879116,1049.3751379224009,4468.469518597117,0.0
2022-04-16,2022,4,base_regular,0.24655127044414818,1085.8415179410129,4436.176795785757,0.002205626197813615
2022-04-21,2022,4,base_regular,0.23515708418222542,1120.2867321200913,4429.752205048462,0.0010344595208273688
2022-04-26,2022,4,base_regular,0.2688151531163521,1133.1024397193962,4445.974350070158,0.004921787609376338
2022-05-01,2022,5,base_regular,0.25351304885517073,1132.4184637782232,4442.819030400054,0.0029447810936638064
2022-05-06,2022,5,base_regular,0.2326851235805866,1143.8262328783371,4442.819030400054,0.0
2022-05-11,2022,5,base_regular,0.2326851235805866,1156.1097590197012,4442.819030400054,0.0
2022-05-16,2022,5,base_regular,0.23583152562059512,1163.9103865425816,4451.274130135749,0.0
2022-05-21,2022,5,base_regular,0.2355725100291829,1156.1097590197012,4450.577488946634,0.0
2022-05-26,2022,5,base_regular,0.24632562291604976,1155.5996599529726,4357.024217535243,0.006454882494143277
2022-05-31,2022,5,base_regular,0.19398291549109412,1158.5322216210725,4317.388943936121,0.0012161907392336246
2022-06-01,2022,6,flood_regular,0.43740115855908,1152.7797825587195,4373.582749085443,0.012928740567751618
2022-06-03,2022,6,flood_regular,0.39330356402168676,1152.7797825587195,4434.326740667646,0.0035632163656735827
2022-06-05,2022,6,flood_regular,0.3803395841150701,1152.502184222066,4445.355703788555,0.0011737075665614327
2022-06-07,2022,6,flood_regular,0.3855020108777687,1152.7797825587195,4434.326740667646,0.002483531438711495
