target,data_scope,template_weight,stl_weight,mean_rmse_log
mean_sediment_flux_kg_s,exclude_2016_2017,0.4,0.6,1.124850321345283
mean_sediment_flux_kg_s,exclude_2016_2017,0.45,0.55,1.1242187544439746
mean_sediment_flux_kg_s,exclude_2016_2017,0.5,0.5,1.1239279693799051
mean_sediment_flux_kg_s,exclude_2016_2017,0.55,0.44999999999999996,1.1239463947048203
mean_sediment_flux_kg_s,exclude_2016_2017,0.6000000000000001,0.3999999999999999,1.1242465236594406
mean_sediment_flux_kg_s,exclude_2016_2017,0.65,0.35,1.1248041554161388
mean_sediment_flux_kg_s,exclude_2016_2017,0.7000000000000001,0.29999999999999993,1.1255978171491112
mean_sediment_flux_kg_s,exclude_2016_2017,0.75,0.25,1.126608317099995
mean_sediment_flux_kg_s,exclude_2016_2017,0.8,0.19999999999999996,1.127818394071918
mean_sediment_flux_kg_s,exclude_2016_2017,0.8500000000000001,0.1499999999999999,1.1292124389302487
mean_sediment_flux_kg_s,exclude_2016_2017,0.9,0.09999999999999998,1.1307762705735562
mean_sediment_flux_kg_s,exclude_2016_2017,0.9500000000000001,0.04999999999999993,1.1324969535993494
mean_sediment_flux_kg_s,exclude_2016_2017,1.0,0.0,1.1343626482371232
