date,low_pred_mean_flow_m3s,normal_pred_mean_flow_m3s,high_pred_mean_flow_m3s,low_pred_mean_sediment_flux_kg_s,normal_pred_mean_sediment_flux_kg_s,high_pred_mean_sediment_flux_kg_s,low_pred_water_volume_m3,low_pred_sediment_mass_kg,low_pred_water_volume_1e8_m3,low_pred_sediment_mass_1e4_t,normal_pred_water_volume_m3,normal_pred_sediment_mass_kg,normal_pred_water_volume_1e8_m3,normal_pred_sediment_mass_1e4_t,high_pred_water_volume_m3,high_pred_sediment_mass_kg,high_pred_water_volume_1e8_m3,high_pred_sediment_mass_1e4_t,pred_mean_flow_m3s,pred_mean_sediment_flux_kg_s,pred_water_volume_m3,pred_sediment_mass_kg,pred_water_volume_1e8_m3,pred_sediment_mass_1e4_t,year,month
2022-01-01,417.3338695084388,547.7525750307576,886.7009608721177,645.8215354808696,1019.9072531587422,2303.2199620030756,36057646.32552911,55798980.66554713,0.36057646325529114,5.579898066554713,47325822.482657455,88119986.67291532,0.47325822482657454,8.811998667291533,76610963.01935096,198998204.71706572,0.7661096301935096,19.899820471706573,547.7525750307576,1019.9072531587422,47325822.482657455,88119986.67291532,0.47325822482657454,8.811998667291533,2022,1
2022-01-02,402.6172244841773,528.4369124478294,855.4327982875742,595.5561386057068,940.5261237919283,2123.956405245589,34786128.19543292,51456050.37553307,0.34786128195432914,5.145605037553307,45656949.23549246,81261457.0956226,0.4565694923549246,8.12614570956226,73909393.77204642,183509833.4132189,0.7390939377204642,18.35098334132189,528.4369124478294,940.5261237919283,45656949.23549246,81261457.0956226,0.4565694923549246,8.12614570956226,2022,1
2022-01-03,388.1650077228329,509.46831314566083,824.726461166865,546.5939046179309,863.2030014872412,1949.3403720082595,33537456.667252764,47225713.35898923,0.33537456667252763,4.722571335898923,44018062.25578509,74580739.32849763,0.44018062255785095,7.458073932849763,71256366.24481714,168423008.14151362,0.7125636624481714,16.84230081415136,509.46831314566083,863.2030014872412,44018062.25578509,74580739.32849763,0.44018062255785095,7.458073932849763,2022,1
2022-01-04,374.18796816086643,491.12338604834287,795.0297235779866,500.21628167079535,789.9616005283442,1783.9419436598466,32329840.44909886,43218686.73635672,0.32329840449098857,4.321868673635672,42433060.55457682,68252682.28564894,0.42433060554576824,6.8252682285648945,68690568.11713804,154132583.93221074,0.6869056811713804,15.413258393221074,491.12338604834287,789.9616005283442,42433060.55457682,68252682.28564894,0.42433060554576824,6.8252682285648945,2022,1
2022-01-05,361.02934418231234,473.85263307398185,767.0718572795197,457.17478668422785,721.988746555753,1630.4412859685485,31192935.337351788,39499901.569517285,0.3119293533735179,3.9499901569517286,40940867.49759203,62379827.70241706,0.4094086749759203,6.237982770241706,66275008.4689505,140870127.1076826,0.662750084689505,14.087012710768258,473.85263307398185,721.988746555753,40940867.49759203,62379827.70241706,0.4094086749759203,6.237982770241706,2022,1
2022-01-06,348.63446450657744,457.58429792165623,740.7367032904275,417.34279512945596,659.0844690385579,1488.3868126580867,30122017.733368292,36058417.499184996,0.30122017733368295,3.6058417499184996,39535283.3404311,56944898.1249314,0.39535283340431104,5.69448981249314,63999651.16429294,128596620.6136587,0.6399965116429294,12.859662061365869,457.58429792165623,659.0844690385579,39535283.3404311,56944898.1249314,0.39535283340431104,5.69448981249314,2022,1
2022-01-07,337.12083728832596,442.4726105712627,716.2739288466186,381.18702634059457,601.98582985516,1359.4430041273474,29127240.34171136,32934559.07582737,0.29127240341711363,3.293455907582737,38229633.553357095,52011575.69948582,0.38229633553357095,5.201157569948582,61886067.452347845,117455875.55660282,0.6188606745234785,11.745587555660283,442.4726105712627,601.98582985516,38229633.553357095,52011575.69948582,0.38229633553357095,5.201157569948582,2022,1
2022-01-08,326.330026375041,428.30962286220415,693.3469078102738,347.47725369030854,548.7500058085689,1239.222452446745,28194914.27880354,30022034.71884266,0.2819491427880354,3.002203471884266,37005951.41529444,47412000.50186035,0.3700595141529444,4.741200050186035,59905172.83480766,107068819.89139876,0.5990517283480765,10.706881989139875,428.30962286220415,548.7500058085689,37005951.41529444,47412000.50186035,0.3700595141529444,4.741200050186035,2022,1
2022-01-09,316.58013847820285,415.51285127967077,672.6315151758234,318.53784764370266,503.0477358973271,1136.0146558138472,27352523.964516725,27521670.03641591,0.27352523964516723,2.752167003641591,35900310.350563556,43463324.381529056,0.3590031035056356,4.346332438152905,58115362.91119114,98151666.26231639,0.5811536291119115,9.815166626231639,415.51285127967077,503.0477358973271,35900310.350563556,43463324.381529056,0.3590031035056356,4.346332438152905,2022,1
2022-01-10,307.818143808999,404.0126939880634,654.015079607125,292.6554514295928,462.1732184375714,1043.7091993529941,26595487.625097517,25285431.00351682,0.2659548762509752,2.528543100351682,34906696.76056868,39931766.07300617,0.3490669676056868,3.993176607300617,56506902.8780556,90176474.82409869,0.565069028780556,9.017647482409869,404.0126939880634,462.1732184375714,34906696.76056868,39931766.07300617,0.3490669676056868,3.993176607300617,2022,1
2022-01-11,299.9464744946238,393.6810927168361,637.2903005880023,270.348308195182,426.9448837783899,964.1543149614397,25915375.396335497,23358093.828063726,0.259153753963355,2.3358093828063726,34014046.41073464,36888037.95845289,0.3401404641073464,3.688803795845289,55061881.9708034,83302932.81266838,0.5506188197080341,8.330293281266838,393.6810927168361,426.9448837783899,34014046.41073464,36888037.95845289,0.3401404641073464,3.688803795845289,2022,1
2022-01-12,292.8840892553282,384.41168042293367,622.2849913254004,251.64585367917445,397.4092180181195,897.4549805274315,25305185.311660357,21742201.757880673,0.25305185311660355,2.1742201757880673,33213169.18854147,34336156.43676552,0.3321316918854147,3.433615643676552,53765423.25051459,77540110.31757009,0.5376542325051459,7.754011031757009,384.41168042293367,397.4092180181195,33213169.18854147,34336156.43676552,0.3321316918854147,3.433615643676552,2022,1
