mirror_id,x_m,y_m,annual_optical_efficiency,annual_cosine_efficiency,annual_atmospheric_efficiency,annual_shadow_blocking_efficiency,annual_truncation_efficiency
1,-47.2,-346.1347934103785,0.422516483038199,0.5646441366358012,0.9597024639428468,0.9078776041666666,0.9447340100555809
2,-35.400000000000006,-346.1347934103785,0.4307286117307744,0.5641691444113184,0.9598748168160379,0.9204427083333333,0.9483410059616374
3,-23.6,-346.1347934103785,0.43536184776939363,0.5638264623231718,0.9599985687539386,0.9287760416666667,0.9494285771487971
4,-11.8,-346.1347934103785,0.436713516975685,0.563619471964163,0.9600730800521599,0.9309895833333334,0.9511450516548783
5,0.0,-346.1347934103785,0.43922905012664815,0.5635502429211772,0.9600979608161195,0.9327473958333333,0.954670611105785
6,11.8,-346.1347934103785,0.436957079522025,0.5636194719641631,0.9600730800521599,0.9326171875,0.9493442947321417
7,23.6,-346.1347934103785,0.43304390334537646,0.5638264623231718,0.9599985687539386,0.9276041666666667,0.945594924018837
8,35.400000000000006,-346.1347934103785,0.4278984204264917,0.5641691444113183,0.9598748168160379,0.919140625,0.943730421023374
9,47.2,-346.1347934103785,0.4196519433806311,0.564644136635801,0.9597024639428468,0.9064453125,0.9401254887044942
10,-88.5,-335.9156936457221,0.3734907616970306,0.5705013969433173,0.9597270220570525,0.8102864583333333,0.9400043256100697
11,-76.7,-335.9156936457221,0.3906300633184811,0.5695799104437587,0.9600730800521599,0.8421875,0.9417415046020279
12,-64.9,-335.9156936457221,0.4066102484289471,0.5687725392508217,0.9603731074653509,0.87265625,0.9433715553094166
13,-53.1,-335.9156936457221,0.42078915795647115,0.568086919983844,0.9606256021478837,0.9000651041666666,0.9440452375521947
14,-41.300000000000004,-335.9156936457221,0.43099658274149266,0.5675297806654521,0.9608292557183232,0.9186848958333333,0.9453282362138786
15,-29.500000000000007,-335.9156936457221,0.4379578283410975,0.5671067577452452,0.9609829822741729,0.9301432291666667,0.9473522181727422
16,-17.700000000000003,-335.9156936457221,0.442294803793618,0.5668222347147389,0.9610859434489217,0.9370442708333333,0.949403771210917
17,-5.9,-335.9156936457221,0.44409454430104506,0.5666792113243283,0.9611375685275904,0.9395182291666667,0.9516547986797438
18,5.9,-335.9156936457221,0.4434498564430475,0.5666792113243283,0.9611375685275904,0.9404296875,0.9493264022392895
19,17.700000000000003,-335.9156936457221,0.44060401021231566,0.566822234714739,0.9610859434489217,0.9366536458333333,0.9460357550412126
20,29.5,-335.9156936457221,0.4359260718157833,0.5671067577452451,0.9609829822741729,0.9296223958333333,0.943375142111256
