sample,actual_power_mw,predicted_power_mw,actual_unit_area_power_kw_m2,predicted_unit_area_power_kw_m2
1.0,60.55015071280586,60.685148612596905,0.4278461108341661,0.4281228539316331
2.0,60.367744306218086,60.40606506138453,0.4265572309431816,0.42638888609086434
3.0,58.12551145016281,57.36128340174358,0.37529384975569996,0.3720110725211123
4.0,61.754770860510995,61.6719273255743,0.4530281721443824,0.4522893479503813
5.0,59.72602185077008,59.73449397015224,0.48054659843011055,0.4803782461570483
6.0,61.85536023957404,61.865648357328396,0.4537660879669023,0.4534977401410176
7.0,59.46197462420481,59.478164473783416,0.4793978220308379,0.4790455630749962
8.0,59.551876146094095,60.11915590720774,0.4207923234218425,0.424786687184418
9.0,59.96110270621433,60.07051720079288,0.47857851948451047,0.4790276062384738
10.0,60.3380693510579,60.37513084603076,0.4740032208037817,0.47431771361858555
11.0,60.702031756943235,60.70088893466662,0.46946921712899886,0.4696811787408312
12.0,61.03953461403136,61.03376140753388,0.46487214253794834,0.4651039279543824
13.0,59.8934830005593,59.90441804561024,0.47803881395609626,0.4781236748725027
14.0,60.26615994510971,60.23581913760545,0.4734383155890124,0.4734849202914642
15.0,60.6260737261754,60.565735182293785,0.4688817580900326,0.4688411940773768
16.0,60.95732530818996,60.8919326097262,0.46424604313557405,0.46420607855695845
17.0,59.62580002478958,59.64506191574528,0.47687287579309456,0.4768075316552016
18.0,59.99229102784948,59.968369498367686,0.47224801486961193,0.4721247481222965
19.0,60.34112232383128,60.29074423972814,0.467629701852716,0.46740147694788686
20.0,60.6589408714068,60.60948257708643,0.46291573375795847,0.46264658519392016
