month,avg_optical_efficiency,avg_cosine_efficiency,avg_shadow_blocking_efficiency,avg_truncation_efficiency,field_power_mw,unit_area_power_kw_m2
1.0,0.4517827142314538,0.7685597896418107,0.7311052418718433,0.9491259954347651,49.61374704710941,0.3945806248990711
2.0,0.4898413475684795,0.7808946523177384,0.7811313821811868,0.9378405044128277,58.08885722268626,0.4619836022632334
3.0,0.5060223053364933,0.7915735082931368,0.7958224826388888,0.9306610604707639,63.286451819933234,0.5033203334358738
4.0,0.5163798278973666,0.7983581053798028,0.7999684343434343,0.9288361321726128,66.82128146354674,0.5314330113266286
5.0,0.5226315101448703,0.7998733462748664,0.8028081104008837,0.92981171922874,68.66509751637962,0.5460969731038943
6.0,0.5245455782606431,0.7996711908446381,0.804025607638889,0.9302904438638777,69.2092757148444,0.5504248496781592
7.0,0.5225619238822446,0.7998726424545534,0.8027664338699495,0.9297931751140283,68.64568012184894,0.5459425455888642
8.0,0.515968390900449,0.7981702270888886,0.7997953164457071,0.9288473808912607,66.69118401180113,0.5303983397514539
9.0,0.5053812072744935,0.7910915199549948,0.7955060862531566,0.9308364956634643,63.06286457448196,0.5015421328305889
10.0,0.48653217596605886,0.7794086436788357,0.7769319168244949,0.9391901887790673,57.228186845058225,0.4551386474745106
11.0,0.4473658610412688,0.7674526849447911,0.725472745028409,0.949742207943409,48.7319185003373,0.3875673981272897
12.0,0.4270443910767594,0.7628422641609738,0.6992389717487374,0.9518423292281186,44.85109439535418,0.35670300888828277
