scenario,year,pred_water_volume_1e8_m3,pred_sediment_mass_1e4_t,pred_mean_flow_m3s,pred_mean_sediment_flux_kg_s,max_pred_flow_m3s,max_pred_sediment_flux_kg_s
low,2022,270.4161117012165,12574.063525787982,857.4838651104025,3987.2093879337845,2075.1679825206156,22498.293757326017
low,2023,278.6515083565992,13121.64245400256,883.598136595,4160.845527017555,2138.3662563035405,23473.769841128415
normal,2022,441.87988119390735,30097.635949984742,1401.1919114469413,9543.89775177091,3071.82369034518,29317.984526667486
normal,2023,464.5355471692263,32225.589669337678,1473.0325569800427,10218.667449688506,3229.3194588230213,31400.571867056515
high,2022,658.1416103783233,57564.0675413756,2086.953356095647,18253.446074763953,5525.585020912743,48055.84101529909
high,2023,697.3916056288077,62536.32345071619,2211.414274571308,19830.138080516295,5867.268116248755,52206.76585167987
