survey_date,method,min_bed_elevation_m,thalweg_distance_m,max_bed_elevation_m,section_integral_m2,roughness_integral,max_abs_slope,below_observed_min_m,above_observed_max_m,selected_penalty
2016-06-08,linear,40.786625,2030.0,50.92,206427.15866729966,0.06602612554798933,0.2805000000000007,0.0,0.0,
2016-06-08,pchip,40.77155516968759,2030.0,50.92357798165137,206415.41289559982,0.08066980721250949,0.3688575,0.0,0.0,
2016-06-08,penalized_bspline,41.19283792374345,2010.0,49.56358447361805,206654.54458018852,0.00033261300088270086,0.07737129376086145,0.0,0.0,0.01
2016-06-08,gcv_smoothing_spline,40.64181360523018,2040.0,50.78940251704343,206426.86488752475,0.024122692018166036,0.2795663034204196,0.12918639476981753,0.0,
2016-06-08,matern_gp,41.08222855185396,2030.0,49.73269591649667,205922.35388350853,0.005844141868439436,0.16173502957309865,0.0,0.0,
2016-10-20,linear,41.005,2045.0,51.60166666666667,206825.6407758498,0.0380862268415407,0.27045454545454606,0.0,0.0,
2016-10-20,pchip,41.005,2045.0,51.64560291905517,206822.90956172155,0.051462246250863854,0.3706118988966146,0.0,0.0,
2016-10-20,penalized_bspline,40.346095868541994,1910.0,49.666896833976224,206803.423830059,2.7920202413349964e-05,0.03397211665903797,0.6589041314580086,0.0,0.0001
2016-10-20,gcv_smoothing_spline,40.911572490553056,2050.0,52.403617849947715,206836.97953297198,0.018764444093576776,0.27508851184184663,0.093427509446947,0.0,
2016-10-20,matern_gp,41.111884168075946,2040.0,51.42781764652876,207136.95095559905,0.009368543476554251,0.22018736674574485,0.0,0.0,
2017-05-11,linear,40.96212903225806,1915.0,53.611999999999995,207218.7864151295,0.05479806420932999,0.2885714285714286,0.0,0.0,
2017-05-11,pchip,40.95915753013911,1915.0,53.61395039779176,207221.7634566166,0.07270408299872978,0.4054692278760001,0.0,0.0,
2017-05-11,penalized_bspline,41.056337608867835,1925.0,49.699813538638,207475.08158120298,1.0457900241062296e-05,0.030298457123339517,0.0,0.0,1.0
2017-05-11,gcv_smoothing_spline,40.9467021382405,1920.0,53.67600891915131,207298.20986610296,0.026631893736259744,0.32140698186955774,0.01229786175949954,0.06100891915131257,
2017-05-11,matern_gp,41.07215459978942,1910.0,53.27591475944653,206975.31169596553,0.021919696900320026,0.28688935768637835,0.0,0.0,
2017-09-05,linear,41.867222222222225,2060.0,53.611999999999995,207607.8399143775,0.04719595303494904,0.2885714285714286,0.0,0.0,
2017-09-05,pchip,41.84658700810693,2060.0,53.61395039779176,207596.08164415084,0.06292651574548419,0.4054692278760001,0.0,0.0,
2017-09-05,penalized_bspline,42.05245479091121,2030.0,50.37881907436592,207612.6577546749,0.00018218695333462097,0.05765494524087913,0.0,0.0,0.0001
2017-09-05,gcv_smoothing_spline,41.834041913156895,2065.0,53.681346262555934,207623.4202767341,0.0232800946623735,0.3217547988794237,0.010958086843103843,0.066346262555939,
2017-09-05,matern_gp,42.03082675282354,2055.0,53.310611281419895,207791.60955961104,0.020580586410487368,0.2908834186961123,0.0,0.0,
2018-09-13,linear,41.27129411764706,1735.0,53.576,207535.73332216055,0.05975510046718266,0.45194736842105243,0.0,0.0,
2018-09-13,pchip,41.24152615509872,1735.0,53.576,207481.79678546017,0.06520088853304547,0.4623836213019537,0.0,0.0,
2018-09-13,penalized_bspline,41.168959167876885,1960.0,55.02105817640161,207600.79990387493,0.0007351881922684696,0.25024804747819757,0.06704083212311218,1.4450581764016093,0.0001
