scheme,date,status,affected_volume,served_volume,unserved_volume,minimum_unserved_volume,min_rho_with_all_candidates,selected_candidate_max_load_rate,actual_changed_lines,new_opened_lines,existing_changed_lines,new_opened_share,closed_positive_lines,max_candidate_line_load_rate,max_line_load_rate,average_line_load_rate,line_load_std,target_new_share,lines_per_demand,changed_count,new_opened_count,existing_changed_count,served
flow_heuristic_balanced,2023-01-01,optimal,461720.0,461720.0,0.0,0.0,0.10417580604553223,0.5059909820556641,34,21,13,0.6136363636363636,19,0.5059909820556641,0.8687583307700195,0.04649931405340394,0.10303254471810928,-1.0,-1,44,27,17,461720.00000000006
flow_heuristic_balanced,2023-01-02,optimal,372509.0,372509.0,0.0,0.0,0.07527828216552734,0.4681253433227539,35,20,15,0.575,19,0.4681253433227539,0.6272787017845407,0.047799549674692125,0.10096333930255462,-1.0,-1,40,23,17,372509.0
flow_heuristic_balanced,2023-01-03,optimal,433346.0,433346.0,0.0,0.0,0.08989334106445312,0.49488186836242676,30,16,14,0.575,19,0.49488186836242676,0.8267138881861877,0.04881662974625851,0.10474728206967442,-1.0,-1,40,23,17,433345.99999999994
flow_heuristic_balanced,2023-01-04,optimal,321766.0,321766.0,0.0,0.0,0.07565021514892578,0.3384411334991455,32,20,12,0.6521739130434783,19,0.3384411334991455,0.8095970470624423,0.04503063813643414,0.09213942109921083,-1.0,-1,46,30,16,321766.0000000001
flow_heuristic_balanced,2023-01-05,optimal,398957.0,398957.0,0.0,0.0,0.027043819427490234,0.6265437602996826,17,0,17,0.0,19,0.6265436923557918,1.0548636193797485,0.04753963787363907,0.10429552851188371,0.4,1,17,0,17,398957.0
flow_heuristic_balanced,2023-01-06,optimal,318487.0,318487.0,0.0,0.0,0.021603107452392578,0.4435455799102783,22,18,4,0.8214285714285714,19,0.4435455799102783,0.9182592242194891,0.04305223850317558,0.09265053579478223,-1.0,-1,28,23,5,318487.0
flow_heuristic_balanced,2023-01-07,optimal,482080.0,482080.0,0.0,0.0,0.02345561981201172,0.6193971633911133,25,19,6,0.7241379310344828,19,0.6193971633911133,0.715988647114475,0.042154273433028,0.09310376082841976,-1.0,-1,29,21,8,482080.0
flow_heuristic_balanced,2023-01-08,optimal,507668.0,507668.0,0.0,0.0,0.02812027931213379,0.1470351219177246,32,29,3,0.7692307692307693,19,0.1470351219177246,0.6521680897371505,0.03949331622249854,0.08500144855238626,-1.0,-1,52,40,12,507668.00000000006
flow_heuristic_balanced,2023-01-09,optimal,376988.0,376988.0,0.0,0.0,0.014809370040893555,0.39786577224731445,30,20,10,0.675,19,0.39786577224731445,0.6918861533795055,0.044050397800544004,0.09079309954302593,-1.0,-1,40,27,13,376987.99999999994
flow_heuristic_balanced,2023-01-10,optimal,458495.0,458495.0,0.0,0.0,0.05475759506225586,0.6383073329925537,18,0,18,0.0,19,0.6383073329925537,0.6586305039343714,0.04655246433202919,0.09929786012480053,0.4,1,18,0,18,458495.0
