方案,受影响总货量,正常流转货量,未正常流转货量,正常流转率,平均每日关闭线路数,平均每日承接变化线路数,平均每日总变化线路数,最大每日总变化线路数,承接线路负荷率总体标准差,承接线路负荷率总体变异系数,承接线路负荷率日均标准差,承接线路负荷率日均变异系数,平均每日新开线路数,平均每日原有承接线路数
方案A 最少变化MILP,13700966.0,13688493.0,12473.0,0.9990896262351137,19.0,18.161290322580644,37.16129032258065,38,0.2700352081724805,1.1411856456697749,0.2527989621147339,1.1101760081735916,10.161290322580646,8.0
方案B 新开优先MILP,13700966.0,13688493.0,12473.0,0.9990896262351137,19.0,20.70967741935484,39.70967741935484,41,0.08663238588341168,1.82838577204584,0.07813475753706994,1.6414253798975036,20.451612903225808,0.25806451612903225
方案C 流启发式均衡,13700966.0,13688493.0,12473.0,0.9990896262351137,19.0,27.612903225806452,46.61290322580645,61,0.17266338633943817,1.199864688990342,0.14941987220092456,1.1349005727986574,17.967741935483872,9.64516129032258
