date,scheme,st3,actual_changed,unserved,max_load,avg_load,std_load,violates_changed_limit
2023-01-01,min_changed_plus_0,Optimal,40,0,0.509931648240745,0.0381185045328771,0.091674496009693,False
2023-01-01,min_changed_plus_2,Optimal,42,0,0.509931648240745,0.0375622618914552,0.0907786255131385,False
2023-01-01,min_changed_plus_5,Optimal,45,0,0.509931648240745,0.0375611223875701,0.0907873301357752,False
2023-01-02,min_changed_plus_0,Optimal,39,0,0.496001983512056,0.0400085823826025,0.0915566887036725,False
2023-01-02,min_changed_plus_2,Optimal,41,0,0.496001983512056,0.039860403045842,0.0910843931990077,False
2023-01-02,min_changed_plus_5,Optimal,44,0,0.496001983512056,0.0397182485835005,0.0907391053571806,False
2023-01-03,min_changed_plus_0,Optimal,39,0,0.4924079086196614,0.038890790848887,0.0899312375402362,False
2023-01-03,min_changed_plus_2,Optimal,40,0,0.4924079086196614,0.0383482299310237,0.0885038303706859,False
2023-01-03,min_changed_plus_5,Optimal,40,0,0.4924079086196614,0.0383482299310237,0.0885038303706859,False
2023-01-04 00:00:00,min_changed_plus_0,Not Solved,47,0,0.4899307307674664,0.0387061260691879,0.0898982187862031,True
2023-01-04 00:00:00,min_changed_plus_2,Optimal,41,0,0.4899307307674664,0.0383739919347576,0.0888380275758346,False
2023-01-04 00:00:00,min_changed_plus_5,Optimal,41,0,0.4899307307674664,0.0383739919347576,0.0888380275758346,False
2023-01-05,min_changed_plus_0,Optimal,39,0,0.4916280563328593,0.0379335111498758,0.087742368930595,False
2023-01-05,min_changed_plus_2,Optimal,40,0,0.4916280563328593,0.0378360295731443,0.0876964591790304,False
2023-01-05,min_changed_plus_5,Optimal,40,0,0.4916280563328593,0.0378360295731443,0.0876964591790304,False
2023-01-06,min_changed_plus_0,Optimal,39,0,0.4964906647093903,0.0377970445786422,0.0883550350647945,False
2023-01-06,min_changed_plus_2,Optimal,41,0,0.4964906647093903,0.0384491045438787,0.08921277157049,False
2023-01-06,min_changed_plus_5,Optimal,41,0,0.4964906647093903,0.0384491045438787,0.08921277157049,False
2023-01-07,min_changed_plus_0,Optimal,39,0,0.4912291576272237,0.0359731953848918,0.0866073563172805,False
2023-01-07,min_changed_plus_2,Optimal,40,0,0.4912291576272237,0.0353861619009817,0.0845246100060064,False
2023-01-07,min_changed_plus_5,Optimal,40,0,0.4912291576272237,0.0353861619009817,0.0845246100060064,False
2023-01-08,min_changed_plus_0,Optimal,39,0,0.4816215211058079,0.0346621496461684,0.0833842005083513,False
2023-01-08,min_changed_plus_2,Optimal,40,0,0.4816215211058079,0.0344216704760488,0.0826658057386953,False
2023-01-08,min_changed_plus_5,Optimal,40,0,0.4816215211058079,0.0344216704760488,0.0826658057386953,False
2023-01-09,min_changed_plus_0,Optimal,39,0,0.4898035083369491,0.0379799701037486,0.0890354457184967,False
2023-01-09,min_changed_plus_2,Optimal,40,0,0.4898035083369491,0.0378399405326765,0.0881456809192041,False
2023-01-09,min_changed_plus_5,Optimal,40,0,0.4898035083369491,0.0378399405326765,0.0881456809192041,False
2023-01-10,min_changed_plus_0,Optimal,39,0,0.4898035083369491,0.0389463815069502,0.0906576051295363,False
2023-01-10,min_changed_plus_2,Optimal,40,0,0.4898035083369491,0.0379044993232666,0.0875947388182729,False
2023-01-10,min_changed_plus_5,Optimal,40,0,0.4898035083369491,0.0379044993232666,0.0875947388182729,False
2023-01-11,min_changed_plus_0,Optimal,39,0,0.4939564867042707,0.0383276277554975,0.0886923904007979,False
2023-01-11,min_changed_plus_2,Optimal,40,0,0.4939564867042707,0.0380335805888031,0.0880681598183159,False
2023-01-11,min_changed_plus_5,Optimal,40,0,0.4939564867042707,0.0380335805888031,0.0880681598183159,False
2023-01-12,min_changed_plus_0,Optimal,39,0,0.5097797968326078,0.0390058516620281,0.0914950837942502,False
2023-01-12,min_changed_plus_2,Optimal,41,0,0.4966838157813178,0.0380366366167928,0.0884201894216439,False
2023-01-12,min_changed_plus_5,Optimal,42,0,0.4966838157813178,0.0380369271717158,0.0884182086560393,False
2023-01-13,min_changed_plus_0,Optimal,39,0,0.4937705324490175,0.0380029859349657,0.0882772592942621,False
2023-01-13,min_changed_plus_2,Optimal,40,0,0.4937705324490175,0.0375879570368475,0.0872953634289181,False
2023-01-13,min_changed_plus_5,Optimal,40,0,0.4937705324490175,0.0375879570368475,0.0872953634289181,False
2023-01-14,min_changed_plus_0,Optimal,39,0,0.494204425711275,0.0353140637084547,0.0845116879194396,False
2023-01-14,min_changed_plus_2,Optimal,40,0,0.494204425711275,0.0350570007758413,0.0836512082809913,False
2023-01-14,min_changed_plus_5,Optimal,40,0,0.494204425711275,0.0350570007758413,0.0836512082809913,False
2023-01-15,min_changed_plus_0,Optimal,39,0,0.4845348044381082,0.0344003352065425,0.0825438870304247,False
2023-01-15,min_changed_plus_2,Optimal,40,0,0.4845348044381082,0.0340890086206415,0.0816053408459697,False
2023-01-15,min_changed_plus_5,Optimal,40,0,0.4845348044381082,0.0340890086206415,0.0816053408459697,False
2023-01-16,min_changed_plus_0,Optimal,39,0,0.497176478011231,0.0380208298689811,0.0887893206466517,False
2023-01-16,min_changed_plus_2,Optimal,41,0,0.4935845781937643,0.0376248896341556,0.0875726730233566,False
2023-01-16,min_changed_plus_5,Optimal,41,0,0.4935845781937643,0.0376248896341556,0.0875726730233566,False
2023-01-17,min_changed_plus_0,Optimal,39,0,0.4854025909626231,0.0359551934562482,0.0855016679358882,False
2023-01-17,min_changed_plus_2,Optimal,41,0,0.4854025909626231,0.0366789914881631,0.0854246353765375,False
2023-01-17,min_changed_plus_5,Optimal,41,0,0.4854025909626231,0.0366789914881631,0.0854246353765375,False
2023-01-18,min_changed_plus_0,Optimal,39,0,0.4832797021894126,0.0350562496627929,0.0830777045159425,False
2023-01-18,min_changed_plus_2,Optimal,41,0,0.4712700675633794,0.0353008493158042,0.0829243075570686,False
2023-01-18,min_changed_plus_5,Optimal,41,0,0.4712700675633794,0.0353008493158042,0.0829243075570686,False
2023-01-19,min_changed_plus_0,Optimal,39,0,0.4779323616631964,0.0335054455912987,0.0806831264064191,False
