date,scheme,st3,actual_changed,unserved,max_load,avg_load,std_load,violates_changed_limit
2023-01-19,min_changed_plus_2,Optimal,41,0,0.4622202938077233,0.0335004556178455,0.0798674574279454,False
2023-01-19,min_changed_plus_5,Optimal,41,0,0.4622202938077233,0.0335004556178455,0.0798674574279454,False
2023-01-20,min_changed_plus_0,Optimal,39,0,0.4107970123853645,0.0281495860859617,0.0680871079734717,False
2023-01-20,min_changed_plus_2,Optimal,41,0,0.3891402714932127,0.0275998342532059,0.0660573450547425,False
2023-01-20,min_changed_plus_5,Optimal,41,0,0.3891402714932127,0.0275998342532059,0.0660573450547425,False
2023-01-21,min_changed_plus_0,Optimal,39,0,0.2025316455696202,0.0134340792682684,0.0323307632421202,False
2023-01-21,min_changed_plus_2,Optimal,40,0,0.2025316455696202,0.0134126513151143,0.032200350476913,False
2023-01-21,min_changed_plus_5,Optimal,40,0,0.2025316455696202,0.0134126513151143,0.032200350476913,False
2023-01-22,min_changed_plus_0,Optimal,39,0,0.2755741127348643,0.0175887947039761,0.0429451512939541,False
2023-01-22,min_changed_plus_2,Optimal,40,0,0.2755741127348643,0.0174538159325297,0.0426737334457812,False
2023-01-22,min_changed_plus_5,Optimal,40,0,0.2755741127348643,0.0174538159325297,0.0426737334457812,False
2023-01-23,min_changed_plus_0,Optimal,39,0,0.2993610425760739,0.0202106719279752,0.049136642143846,False
2023-01-23,min_changed_plus_2,Optimal,40,0,0.2993610425760739,0.0201277139386438,0.0487179388560129,False
2023-01-23,min_changed_plus_5,Optimal,40,0,0.2993610425760739,0.0201277139386438,0.0487179388560129,False
2023-01-24,min_changed_plus_0,Optimal,39,0,0.3646169418612007,0.0227403255301273,0.0564892496112844,False
2023-01-24,min_changed_plus_2,Optimal,40,0,0.3646169418612007,0.0224390689635644,0.0556037579861503,False
2023-01-24,min_changed_plus_5,Optimal,40,0,0.3646169418612007,0.0224390689635644,0.0556037579861503,False
2023-01-25,min_changed_plus_0,Optimal,39,0,0.4190789065889791,0.0253535456941649,0.062511911363747,False
2023-01-25,min_changed_plus_2,Optimal,40,0,0.4190789065889791,0.0251063932543056,0.0617003307831427,False
2023-01-25,min_changed_plus_5,Optimal,40,0,0.4190789065889791,0.0251063932543056,0.0617003307831427,False
2023-01-26,min_changed_plus_0,Optimal,39,0,0.4527366267898097,0.0266801819882332,0.0651639064732814,False
2023-01-26,min_changed_plus_2,Optimal,40,0,0.4527366267898097,0.0264929794463507,0.0646004370383021,False
2023-01-26,min_changed_plus_5,Optimal,40,0,0.4527366267898097,0.0264929794463507,0.0646004370383021,False
2023-01-27,min_changed_plus_0,Optimal,39,0,0.4407115849501022,0.0270950123682689,0.06619723702852,False
2023-01-27,min_changed_plus_2,Optimal,40,0,0.4407115849501022,0.027053556492449,0.0656837610447413,False
2023-01-27,min_changed_plus_5,Optimal,40,0,0.4407115849501022,0.027053556492449,0.0656837610447413,False
2023-01-28,min_changed_plus_0,Optimal,39,0,0.4481497551602306,0.0256584153578363,0.0638265973681027,False
2023-01-28,min_changed_plus_2,Optimal,40,0,0.4481497551602306,0.0254537837387762,0.0630231826649446,False
2023-01-28,min_changed_plus_5,Optimal,40,0,0.4481497551602306,0.0254537837387762,0.0630231826649446,False
2023-01-29,min_changed_plus_0,Optimal,39,0,0.4394099051633298,0.0261476171215451,0.0647297681136678,False
2023-01-29,min_changed_plus_2,Optimal,40,0,0.4394099051633298,0.0258613683351813,0.0636567382100153,False
2023-01-29,min_changed_plus_5,Optimal,40,0,0.4394099051633298,0.0258613683351813,0.0636567382100153,False
2023-01-30,min_changed_plus_0,Optimal,39,0,0.4459183040971921,0.0291981082206897,0.0695950776020216,False
2023-01-30,min_changed_plus_2,Optimal,40,0,0.4459183040971921,0.0287223046751296,0.0678688795816637,False
2023-01-30,min_changed_plus_5,Optimal,40,0,0.4459183040971921,0.0287223046751296,0.0678688795816637,False
2023-01-31,min_changed_plus_0,Optimal,39,0,0.4461662431041964,0.029654119626998,0.0693758382276041,False
2023-01-31,min_changed_plus_2,Optimal,40,0,0.4461662431041964,0.0291865901883269,0.0687077406121541,False
2023-01-31,min_changed_plus_5,Optimal,40,0,0.4461662431041964,0.0291865901883269,0.0687077406121541,False
