date,year,month,water_volume_1e8_m3,water_volume_1e8_m3_lower80,water_volume_1e8_m3_upper80,water_volume_1e8_m3_lower95,water_volume_1e8_m3_upper95,water_volume_1e8_m3_model,sediment_mass_1e4_t,sediment_mass_1e4_t_lower80,sediment_mass_1e4_t_upper80,sediment_mass_1e4_t_lower95,sediment_mass_1e4_t_upper95,sediment_mass_1e4_t_model
2022-01-01,2022,1,11.929785440995394,8.21051779550716,17.150917816121655,4.582729833492408,28.945807254941705,fourier_ridge_alpha_1,140.3353890130766,73.8378330077407,265.91970337264513,22.253332141963003,858.0464396897994,fourier_ridge_alpha_1
2022-02-01,2022,2,15.09798228617376,10.467379176181279,21.59845337845202,5.950671097998971,36.283455084009,fourier_ridge_alpha_1,250.77621065143427,132.316829844438,474.49330661375694,40.42370776777614,1529.3135249353031,fourier_ridge_alpha_1
2022-03-01,2022,3,24.25099652429394,16.987518346893317,34.44751494749851,9.902693804541308,57.4821363326116,fourier_ridge_alpha_1,765.8547230025623,405.0536154604082,1447.2475806170364,125.16746381164151,4659.996967247237,fourier_ridge_alpha_1
2022-04-01,2022,4,33.97088535481522,23.911469981853745,48.09235879658938,14.099477548557044,79.99371773406162,fourier_ridge_alpha_1,1612.7945766691976,853.5127294791885,3046.7403622462302,264.5110058579557,9807.756993976343,fourier_ridge_alpha_1
2022-05-01,2022,5,39.416914614132835,27.790942664266325,55.73753047876215,16.45092492243739,92.60690016067913,fourier_ridge_alpha_1,2195.445921917903,1162.0296860739995,4147.109670523774,360.37224307983905,13349.152869499509,fourier_ridge_alpha_1
2022-06-01,2022,6,53.70500503419608,37.969047450178124,75.7952457554294,22.62013391787942,125.69858630759587,fourier_ridge_alpha_1,4561.935199068873,2415.0982244967963,8616.355627268831,749.7210222938977,27732.84121745133,fourier_ridge_alpha_1
2022-07-01,2022,7,68.88589379004358,48.78313610427289,97.10627720606888,29.17482896235301,160.8580226892659,fourier_ridge_alpha_1,7978.893942854874,4224.39587915664,15069.471302660933,1311.8992363948907,48501.35690140867,fourier_ridge_alpha_1
2022-08-01,2022,8,51.88675593876046,36.67381979720592,73.2427757201688,21.8350633909065,121.48746175322002,fourier_ridge_alpha_1,4933.336104069277,2611.7569601569244,9317.76678895508,810.8260906147625,29990.242052203677,fourier_ridge_alpha_1
2022-09-01,2022,9,52.359317553163905,37.0104485199948,73.90616082158706,22.039102648551783,122.58192995500013,fourier_ridge_alpha_1,4671.461133744169,2473.0927838671187,8823.201415852162,767.7408753183087,28398.547555358004,fourier_ridge_alpha_1
2022-10-01,2022,10,64.28831188419572,45.50805391877504,90.65216149728508,27.18971808910361,150.2098721673862,fourier_ridge_alpha_1,5909.4901623049545,3128.63567616846,11161.287746371934,971.4287160179384,35923.375106647116,fourier_ridge_alpha_1
2022-11-01,2022,11,25.84691506771542,18.12436908671749,36.68787589200601,10.591768043618313,61.178336034762864,fourier_ridge_alpha_1,853.384541041007,451.40111520056865,1612.5524857099965,139.56838594010588,5192.009360446689,fourier_ridge_alpha_1
2022-12-01,2022,12,16.74677704627936,11.641896228176728,23.913042303604733,6.662575849903258,40.10211783865399,fourier_ridge_alpha_1,290.3887891954106,153.29189885426555,549.3038532759626,46.941002921627906,1770.0815647217642,fourier_ridge_alpha_1
2023-01-01,2023,1,12.630559607312945,7.92030278544587,19.828009954061738,3.7707076407096203,37.944359872967496,fourier_ridge_alpha_1,155.10208974481057,69.50932763389963,344.59771367017345,15.356921237869862,1488.7584984562948,fourier_ridge_alpha_1
2023-02-01,2023,2,15.970467770752663,10.106052523665014,24.931515787853982,4.939678383924131,47.48693106644029,fourier_ridge_alpha_1,277.0817522431141,124.60598906761568,614.6510649263154,28.13837557565862,2652.870004860516,fourier_ridge_alpha_1
2023-03-01,2023,3,25.619561077723763,16.420748059497782,39.67569484103394,8.316869379133884,75.05570102309828,fourier_ridge_alpha_1,845.9755920812039,381.56809769553416,1874.1371531042328,87.74905565145394,8082.101823625473,fourier_ridge_alpha_1
2023-04-01,2023,4,35.8662526941839,23.12653229735659,55.333026684499245,11.903220299048783,104.33189050578446,fourier_ridge_alpha_1,1781.403597541985,804.0890250116407,3945.1009724790056,185.76646358002606,17009.34823722161,fourier_ridge_alpha_1
2023-05-01,2023,5,41.60744822917988,26.88376633601908,64.10579032708337,13.912643697257495,120.73526582252504,fourier_ridge_alpha_1,2424.930269956159,1094.7618344569264,5369.8182650897925,253.19743207221492,23150.837635470903,fourier_ridge_alpha_1
2023-06-01,2023,6,56.669930822886116,36.74116832883828,87.12183269311215,19.184525620527697,163.77082412747438,fourier_ridge_alpha_1,5038.669999980707,2275.354812265975,11156.43186073136,527.0741941975213,48095.032693477064,fourier_ridge_alpha_1
2023-07-01,2023,7,72.67360002705477,47.21451491856369,111.5760437518499,24.785823670737955,209.49548039475556,fourier_ridge_alpha_1,8812.632092570606,3980.0054681242495,19511.68625104186,922.5231007695847,84111.79652718875,fourier_ridge_alpha_1
2023-08-01,2023,8,54.753135467744464,35.48675211716445,84.19289698636608,18.51364558992757,158.29427949071425,fourier_ridge_alpha_1,5448.874817107669,2460.639108556251,12064.592969703845,570.0568851794885,52009.817648768905,fourier_ridge_alpha_1
2023-09-01,2023,9,55.25130918320544,35.81277397611133,84.95412524136057,18.688006820810216,159.7176294494171,fourier_ridge_alpha_1,5159.639188260122,2329.995055352687,11424.248101771096,539.7497675234781,49249.5007507928,fourier_ridge_alpha_1
2023-10-01,2023,10,67.82683636626982,44.042627583835184,104.17000579889206,23.0894522013806,195.64761840942944,fourier_ridge_alpha_1,6527.017308294831,2947.6223531202245,14451.51540343978,683.0284145188994,62299.05811581598,fourier_ridge_alpha_1
