model,shift,distance_m,base_bed_elevation_m,forecast_2033_bed_elevation_m,ten_year_change_m,development_coefficient_a,abs_a_lt_0_3,level_ratio_pass,in_sample_mae
raw_interval,1.5,1820.0,42.04196616541354,2252.492554857388,2210.450588691974,-0.6300712560922147,False,False,0.11620416140753287
raw_interval,1.5,1825.0,41.90878399122808,1482.8310560051486,1440.9222720139205,-0.5785746799567575,False,False,0.07312417337829058
raw_interval,1.5,1830.0,41.800030075187976,922.6688806335453,880.8688505583574,-0.5199844337616039,False,False,0.04588958360868056
raw_interval,1.5,1835.0,41.72498543233083,783.5960531439594,741.8710677116285,-0.5012658080887721,False,False,0.04919246411890521
raw_interval,1.5,1840.0,41.69012812011664,719.9229799626567,678.23285184254,-0.4917406715187772,False,False,0.050599646210479854
raw_interval,1.5,1845.0,41.67297212636734,607.5626598991548,565.8896877727875,-0.4699614311845938,False,False,0.061556424524134234
raw_interval,1.5,1850.0,41.65968786428882,599.1754364962871,557.5157486319983,-0.46834631762423906,False,False,0.06200398677317476
raw_interval,1.5,1855.0,41.642288414447506,600.3020196312734,558.6597312168259,-0.4686092992035845,False,False,0.06181885334102488
raw_interval,1.5,1860.0,41.621377362641574,579.1852101768307,537.563832814189,-0.4636691752113345,False,False,0.06535769415962744
raw_interval,1.5,1865.0,41.6,513.0915627838364,471.4915627838364,-0.44956691186850256,False,False,0.06972293352262415
raw_interval,1.5,1870.0,41.579166666666666,477.816811784708,436.23764511804137,-0.44416201315919385,False,False,0.06255563287514487
raw_interval,1.5,1875.0,41.55833333333334,431.0663410878277,389.5080077544944,-0.4303269665895162,False,False,0.07918066854381389
raw_interval,1.5,1880.0,41.53515625,390.86112707006475,349.32597082006475,-0.4137148774349372,False,False,0.11821271033150826
raw_interval,1.5,1885.0,41.50925925925927,422.6596586773634,381.15039941810414,-0.4234188658856211,False,False,0.10796572747662614
raw_interval,1.5,1890.0,41.5,434.85161680018143,393.35161680018143,-0.4274518671193822,False,False,0.10117682849752985
raw_interval,1.5,1895.0,41.5,467.1038214706852,425.6038214706852,-0.4374164870882207,False,False,0.08526797407476483
raw_interval,1.5,1900.0,41.5,490.7876078720038,449.2876078720038,-0.44415665901392687,False,False,0.0752131991575129
raw_interval,1.5,1905.0,41.48900067552012,471.012417950143,429.5234172746229,-0.43774871958174444,False,False,0.08821872101038597
raw_interval,1.5,1910.0,41.46018235253434,443.11487729830867,401.65469494577434,-0.4282306708942647,False,False,0.10799968723249997
raw_interval,1.5,1915.0,41.43925559359996,412.9375514555357,371.49829586193573,-0.41727512052200916,False,False,0.13121124916943017
raw_interval,1.5,1920.0,41.423032546285256,375.6954314888574,334.2723989425722,-0.4030531782618027,False,False,0.1602459963636772
raw_interval,1.5,1925.0,41.383644762335045,348.0752551603955,306.69161039806045,-0.3925137694619202,False,False,0.17782030951963046
raw_interval,1.5,1930.0,41.123250764839916,339.1569058308146,298.0336550659747,-0.38928016556470074,False,False,0.18193193556756193
raw_interval,1.5,1935.0,40.800000000000004,347.79980864754083,306.9998086475408,-0.3928367736566989,False,False,0.17625782071553653
raw_interval,1.5,1940.0,40.550389846764496,335.46224546161653,294.911855614852,-0.3878776947531018,False,False,0.1849136786917036
raw_interval,1.5,1945.0,40.33431950215053,322.14758676505545,281.8132672629049,-0.38279748419142384,False,False,0.19119083213276022
raw_interval,1.5,1950.0,40.18783526435339,302.431063596511,262.2432283321576,-0.3741220613102244,False,False,0.20572479318324755
raw_interval,1.5,1955.0,40.07270266460046,294.87985643139365,254.80715376679316,-0.3707594010130103,False,False,0.21089052281475107
raw_interval,1.5,1960.0,39.945397244673764,274.7277057317405,234.78230848706673,-0.36040441719675537,False,False,0.23163457483419359
raw_interval,1.5,1965.0,39.80133779511371,249.44365375081895,209.64231595570524,-0.34634597987398597,False,False,0.25948712861080425
raw_interval,1.5,1970.0,39.67837178364891,222.86774976272343,183.18937797907452,-0.3296506781908139,False,False,0.2940384977695538
raw_interval,1.5,1975.0,39.57846070072168,207.20932932795384,167.63086862723216,-0.31900259217793414,False,False,0.3150918118354069
raw_interval,1.5,1980.0,39.5,201.77598415924908,162.27598415924908,-0.3150803142376107,False,False,0.32321503954595765
raw_interval,1.5,1985.0,39.433944954128435,202.8503995774772,163.41645462334876,-0.3148637225530217,False,False,0.33034825245720456
raw_interval,1.5,1990.0,39.4,201.74937314959143,162.34937314959143,-0.312748186658259,False,False,0.34325907778169573
raw_interval,1.5,1995.0,39.4,196.9076682708267,157.50766827082668,-0.3089830941784589,False,False,0.3520551002436412
raw_interval,1.5,2000.0,39.4,171.96821913588965,132.56821913588965,-0.2911442406207629,True,False,0.37210886365885165
raw_interval,1.5,2005.0,39.4,148.43655869237108,109.03655869237109,-0.2704523470203,True,False,0.4011914301003743
raw_interval,1.5,2010.0,39.4,145.5915826287925,106.1915826287925,-0.2674273580417728,True,False,0.4074201726097866
raw_interval,1.5,2015.0,39.33,151.24858659439906,111.91858659439906,-0.273123309080668,True,False,0.3968398704631235
raw_interval,1.5,2020.0,39.2,145.87831097333446,106.67831097333448,-0.2701459839619238,True,False,0.3770474994510824
raw_interval,1.5,2025.0,39.06503916449087,91.56291673979851,52.49787757530765,-0.2043048714096907,True,False,0.4184500033455507
