date,low_pred_mean_flow_m3s,normal_pred_mean_flow_m3s,high_pred_mean_flow_m3s,low_pred_mean_sediment_flux_kg_s,normal_pred_mean_sediment_flux_kg_s,high_pred_mean_sediment_flux_kg_s,low_pred_water_volume_m3,low_pred_sediment_mass_kg,low_pred_water_volume_1e8_m3,low_pred_sediment_mass_1e4_t,normal_pred_water_volume_m3,normal_pred_sediment_mass_kg,normal_pred_water_volume_1e8_m3,normal_pred_sediment_mass_1e4_t,high_pred_water_volume_m3,high_pred_sediment_mass_kg,high_pred_water_volume_1e8_m3,high_pred_sediment_mass_1e4_t,pred_mean_flow_m3s,pred_mean_sediment_flux_kg_s,pred_water_volume_m3,pred_sediment_mass_kg,pred_water_volume_1e8_m3,pred_sediment_mass_1e4_t,year,month
2022-01-01,369.7328830892754,580.6329575482999,660.9056487093964,375.3091745555788,1147.3192470497067,1216.1584018726892,31944921.098913394,32426712.68160201,0.3194492109891339,3.242671268160201,50166687.53217311,99128382.94509466,0.5016668753217312,9.912838294509466,57102248.04849184,105076085.92180035,0.5710224804849184,10.507608592180034,580.6329575482999,1147.3192470497067,50166687.53217311,99128382.94509466,0.5016668753217312,9.912838294509466,2022,1
2022-01-02,368.2155387880289,560.1578182175522,634.3623896371288,371.22984355028734,1058.021423847627,1121.5027092784846,31813822.551285695,32074258.482744828,0.318138225512857,3.207425848274483,48397635.49399651,91413051.02043496,0.4839763549399651,9.141305102043496,54808910.46464793,96897834.08166108,0.5480891046464793,9.689783408166107,560.1578182175522,1058.021423847627,48397635.49399651,91413051.02043496,0.4839763549399651,9.141305102043496,2022,1
2022-01-03,366.91781010933107,540.0505756130818,611.4506115540463,365.10695296532504,971.0387044019224,1029.3010266660378,31701698.793446206,31545240.736204084,0.31701698793446204,3.1545240736204083,46660369.73297027,83897744.06032608,0.4666036973297027,8.389774406032608,52829332.8382696,88931608.70394567,0.5282933283826959,8.893160870394567,540.0505756130818,971.0387044019224,46660369.73297027,83897744.06032608,0.4666036973297027,8.389774406032608,2022,1
2022-01-04,358.7720670184286,520.604442884403,605.860042136485,354.7490713980121,888.647615662456,941.9664726022035,30997906.59039223,30650319.76878825,0.30997906590392227,3.065031976878825,44980223.865212426,76779153.9932362,0.44980223865212426,7.67791539932362,52346307.64059231,81385903.23283038,0.523463076405923,8.138590323283038,520.604442884403,888.647615662456,44980223.865212426,76779153.9932362,0.44980223865212426,7.67791539932362,2022,1
2022-01-05,352.88237532280056,502.2969645890683,587.941550413532,344.5479642367917,812.1832475563151,860.9142424096941,30489037.227889966,29768944.110058803,0.30489037227889965,2.97689441100588,43398457.7404955,70172632.58886562,0.43398457740495505,7.017263258886563,50798149.955729164,74382990.54419757,0.5079814995572917,7.438299054419757,502.2969645890683,812.1832475563151,43398457.7404955,70172632.58886562,0.43398457740495505,7.017263258886563,2022,1
2022-01-06,347.9909364569399,485.0520770532107,534.7594669798077,334.47281349094845,741.4206482182741,785.9058871113706,30066416.909879606,28898451.085617945,0.30066416909879606,2.8898451085617944,41908499.45739741,64058744.00605888,0.4190849945739741,6.405874400605888,46203217.947055385,67902268.64642242,0.46203217947055386,6.790226864642242,485.0520770532107,741.4206482182741,41908499.45739741,64058744.00605888,0.4190849945739741,6.405874400605888,2022,1
2022-01-07,343.0994975910793,469.03326834325344,512.2060587311843,328.7419638939796,677.1889570399169,717.820294462312,29643796.59186925,28403305.680439834,0.2964379659186925,2.840330568043983,40524474.384857096,58509125.888248816,0.40524474384857095,5.850912588824881,44254603.474374324,62019673.44154375,0.44254603474374327,6.201967344154375,469.03326834325344,677.1889570399169,40524474.384857096,58509125.888248816,0.40524474384857095,5.850912588824881,2022,1
2022-01-08,341.4423978936653,454.0201076278171,504.2024657615986,322.22905179795026,617.3026434834242,654.3408020924296,29500623.178012684,27840590.0753429,0.29500623178012686,2.78405900753429,39227337.299043395,53334948.39696785,0.39227337299043397,5.333494839696785,43563093.041802116,56535045.30078592,0.43563093041802115,5.653504530078592,454.0201076278171,617.3026434834242,39227337.299043395,53334948.39696785,0.39227337299043397,5.333494839696785,2022,1
2022-01-09,337.66900219714427,440.45517398853815,490.7516513082353,315.2668501698374,565.891013905703,599.8444747400451,29174601.789833266,27239055.854673952,0.29174601789833265,2.7239055854673953,38055327.03260969,48892983.60145274,0.3805532703260969,4.889298360145274,42400942.67303153,51826562.6175399,0.42400942673031533,5.18265626175399,440.45517398853815,565.891013905703,38055327.03260969,48892983.60145274,0.3805532703260969,4.889298360145274,2022,1
2022-01-10,335.37302068867905,428.26468754468766,488.57754097918365,309.6611011499383,519.9102441345246,551.1048587825961,28976228.98750187,26754719.13935467,0.28976228987501873,2.675471913935467,37002069.00386102,44920245.09322293,0.37002069003861016,4.4920245093222935,42213099.54060147,47615459.79881631,0.4221309954060147,4.761545979881631,428.26468754468766,519.9102441345246,37002069.00386102,44920245.09322293,0.37002069003861016,4.4920245093222935,2022,1
2022-01-11,332.8374585010697,417.3129029693515,487.95636659945455,302.14532629691394,480.28100699476647,541.2804398369461,28757156.41449242,26105356.192053363,0.2875715641449242,2.6105356192053364,36055834.81655197,41496279.00434782,0.3605583481655197,4.1496279004347825,42159430.074192874,46766630.00191215,0.4215943007419287,4.676663000191215,417.3129029693515,480.28100699476647,36055834.81655197,41496279.00434782,0.3605583481655197,4.1496279004347825,2022,1
2022-01-12,329.3435735968836,407.48706823979154,484.6115814778367,298.0641079792217,447.05559586425943,535.243149371866,28455284.75877074,25752738.929404758,0.28455284758770744,2.575273892940476,35206882.69591799,38625603.48267201,0.35206882695917985,3.8625603482672015,41870440.63968509,46245008.10572922,0.41870440639685086,4.624500810572922,407.48706823979154,447.05559586425943,35206882.69591799,38625603.48267201,0.35206882695917985,3.8625603482672015,2022,1
2022-01-13,326.3488151075812,399.0023681934917,475.9390314839275,292.0992211932827,419.49456250858,533.3398687608296,28196537.625295013,25237372.711099625,0.28196537625295015,2.5237372711099626,34473804.61191768,36244330.20074131,0.3447380461191768,3.6244330200741315,41121132.320211336,46080564.66093568,0.41121132320211334,4.608056466093568,399.0023681934917,419.49456250858,34473804.61191768,36244330.20074131,0.3447380461191768,3.6244330200741315,2022,1
2022-01-14,325.310632164623,391.28455773871934,469.08222198461084,286.0739089080875,396.1271122307344,516.4914596740658,28106838.619023424,24716785.72965876,0.2810683861902342,2.471678572965876,33806985.78862535,34225382.49673545,0.33806985788625354,3.4225382496735453,40528703.97947038,44624862.11583929,0.4052870397947038,4.462486211583928,391.28455773871934,396.1271122307344,33806985.78862535,34225382.49673545,0.33806985788625354,3.4225382496735453,2022,1
2022-01-15,323.5537071842322,384.0547522736862,469.08222198461084,282.7480383940408,375.219292991965,500.66723475343656,27955040.300717663,24429430.517245125,0.27955040300717665,2.4429430517245123,33182330.596446484,32418946.914505776,0.33182330596446485,3.2418946914505775,40528703.97947038,43257649.08269692,0.4052870397947038,4.325764908269692,384.0547522736862,375.219292991965,33182330.596446484,32418946.914505776,0.33182330596446485,3.2418946914505775,2022,1
2022-01-16,321.4973063549113,379.91721646321463,465.833002152182,277.9245601868757,366.0749730805597,500.7001413798584,27777367.269064337,24012682.000146057,0.27777367269064335,2.4012682000146057,32824847.502421744,31628877.674160358,0.32824847502421745,3.1628877674160356,40247971.385948524,43260492.215219766,0.4024797138594852,4.326049221521977,379.91721646321463,366.0749730805597,32824847.502421744,31628877.674160358,0.32824847502421745,3.1628877674160356,2022,1
2022-01-17,319.2811850728275,375.92466420264043,453.69621042516854,275.0870216903704,357.9983229822343,486.5226749608489,27585894.390292294,23767518.674048003,0.2758589439029229,2.3767518674048005,32479890.987108134,30931055.105665043,0.32479890987108134,3.093105510566504,39199352.580734566,42035559.116617344,0.39199352580734564,4.203555911661734,375.92466420264043,357.9983229822343,32479890.987108134,30931055.105665043,0.32479890987108134,3.093105510566504,2022,1
2022-01-18,318.18310696008325,372.19960743950793,443.136245969775,271.81109857873605,350.6817778985436,465.821845230342,27491020.441351194,23484478.917202793,0.27491020441351194,2.348447891720279,32158046.082773484,30298905.610434167,0.32158046082773484,3.0298905610434166,38286971.65178856,40247007.42790154,0.38286971651788565,4.024700742790154,372.19960743950793,350.6817778985436,32158046.082773484,30298905.610434167,0.32158046082773484,3.0298905610434166,2022,1
