date,year,month,water_volume_1e8_m3,water_volume_1e8_m3_lower80,water_volume_1e8_m3_upper80,water_volume_1e8_m3_lower95,water_volume_1e8_m3_upper95,water_volume_1e8_m3_model,sediment_mass_1e4_t,sediment_mass_1e4_t_lower80,sediment_mass_1e4_t_upper80,sediment_mass_1e4_t_lower95,sediment_mass_1e4_t_upper95,sediment_mass_1e4_t_model
2022-01-01,2022,1,10.676020785728841,7.0166467392358065,16.005796291551153,3.7273861476258263,27.838232615552016,regime_climatology,103.85891287316856,49.8249892185599,215.33829692830608,17.525038110333558,592.5421856330413,regime_climatology
2022-02-01,2022,2,12.263971601076701,8.106918926956194,18.3186020480992,4.370315517601082,31.760261861254378,regime_climatology,174.04804193647027,83.8455758349527,360.1480820803054,29.925093148110854,989.8399253330662,regime_climatology
2022-03-01,2022,3,26.000166220092986,17.53806176430354,38.32498365694373,9.931824644271972,65.6868523448768,regime_climatology,832.9891512388847,403.2335406564985,1719.6338277980642,146.33779310674464,4719.702609412951,regime_climatology
2022-04-01,2022,4,29.666656862082338,20.055439969510957,43.66512428419917,11.41631301487556,74.74260104187034,regime_climatology,1196.6733794377476,579.5108495727657,2469.964194501302,210.58854683771452,6778.2966360982455,regime_climatology
2022-05-01,2022,5,38.514244582234966,26.13011100243314,56.55138726725644,14.998523461029968,96.59497673069424,regime_climatology,2050.847181184624,993.5278661049862,4232.2417204394915,361.4922878420554,11613.252209331671,regime_climatology
2022-06-01,2022,6,54.18636575065574,36.8904429140799,79.37739151456164,21.343850338664602,135.303050665133,regime_climatology,4417.468275291835,2140.6262700137095,9114.905129252753,779.5945240733611,25009.247058722194,regime_climatology
2022-07-01,2022,7,66.67236308864396,45.463211983490375,97.56289590199862,26.399179713124415,166.14181862195025,regime_climatology,7251.430028416813,3514.24413044877,14961.756316548366,1280.2601140682525,41050.57160482718,regime_climatology
2022-08-01,2022,8,34.341754190604206,23.265318098549017,50.47427221833031,13.309165961546393,86.289475335298,regime_climatology,1631.7449395254525,790.3895125768885,3367.5764028708486,287.4510376885931,9240.970695990303,regime_climatology
2022-09-01,2022,9,56.34220844539219,38.37062435827431,82.51731584118897,22.21670771692604,140.62769801325493,regime_climatology,5409.832297249357,2621.6239204269177,11162.28800363833,954.9118225496727,30626.412966675976,regime_climatology
2022-10-01,2022,10,69.64905283457212,47.50697934082319,101.89836090085143,27.604381564758707,173.4938500111311,regime_climatology,5029.027229153945,2437.0481609611275,10376.634999653113,887.6363930627363,28470.90833455305,regime_climatology
2022-11-01,2022,11,29.512302474753024,19.949461689874568,43.44031145491424,11.353818025711293,74.36136604677047,regime_climatology,1216.5688775085068,589.1541736092003,2511.0113315660788,214.10341123870901,6890.912884785276,regime_climatology
2022-12-01,2022,12,20.261823488526375,13.598169279369138,29.96724866015446,7.608485003365024,51.5139020257968,regime_climatology,437.4632679335918,211.5226197263162,903.6097661255147,76.46169138979873,2480.872444013311,regime_climatology
2023-01-01,2023,1,11.447101837464324,6.779301462403432,18.915714142326305,3.0199996597862766,37.53988986666844,regime_climatology,111.04309692014073,44.31323149600326,276.0417194492809,11.832973677910612,977.2343424474298,regime_climatology
2023-02-01,2023,2,13.149743211155739,7.843433555260519,21.639988381271863,3.5698961603817834,42.81176856432582,regime_climatology,186.0873858088031,74.6631533416001,461.5988791499097,20.42825005332298,1632.4366941617843,regime_climatology
2023-03-01,2023,3,27.87804149934367,17.048457657108422,45.20568121007094,8.326646356603193,88.41491388781903,regime_climatology,890.6091205422348,359.5906262290721,2203.6242081985793,101.12138622925492,7783.528326412025,regime_climatology
2023-04-01,2023,4,31.809346299823858,19.5054798284446,51.495879814942995,9.596326975177297,100.58739034227987,regime_climatology,1279.4503079088904,516.848424546487,3165.0866641813873,145.65771965388743,11178.452366321544,regime_climatology
2023-05-01,2023,5,41.29595556007097,25.43450605922254,66.67472230166243,12.660186056327674,129.96072406062297,regime_climatology,2192.7094748891323,886.1949098432877,5423.243542006339,250.25881667034494,19152.004555188363,regime_climatology
2023-06-01,2023,6,58.10000368105311,35.936850928643544,93.56167343144875,18.08733436856018,181.99100165886432,regime_climatology,4723.0357440185,1909.526673648423,11679.817660686127,540.0723910970428,41243.968469961925,regime_climatology
2023-07-01,2023,7,71.48780855132081,44.30408141856953,114.98253896875617,22.41114980178596,223.44358491833208,regime_climatology,7753.029809183878,3134.937486812714,19171.88802297577,887.115940867961,67698.46975949078,regime_climatology
2023-08-01,2023,8,36.822104919700756,22.638398717636225,59.51643504471269,11.21528118714034,116.10836604095748,regime_climatology,1744.6168697138805,704.9742500428399,4315.2739372502265,198.93605993166798,15239.763756528546,regime_climatology
2023-09-01,2023,9,60.41155321505085,37.38154391059715,97.26021790759042,18.833887940756473,189.14823919294474,regime_climatology,5784.044098735816,2338.6268906012515,14303.304399458142,661.5960963712314,50507.50043880691,regime_climatology
2023-10-01,2023,10,74.67949123385401,46.29884791795058,120.08932131603495,23.441957090540573,233.32597366074157,regime_climatology,5376.897779615005,2173.966006368314,13296.580028057802,614.9631654726891,46952.756570481666,regime_climatology
2023-11-01,2023,11,31.64384358806631,19.402042457687973,51.23107080637344,9.542875107132271,100.07494524726408,regime_climatology,1300.7220279705448,525.4512782873016,3217.683870644939,148.0940984325788,11364.173108243462,regime_climatology
2023-12-01,2023,12,21.725244034362735,13.203027054690445,35.36103166126054,6.339497537629926,69.36404246660561,regime_climatology,467.72371014005694,188.5644316256307,1157.982803701001,52.68576199502286,4091.368409855645,regime_climatology
