scenario,year,pred_water_volume_1e8_m3,pred_sediment_mass_1e4_t,pred_mean_flow_m3s,pred_mean_sediment_flux_kg_s,max_pred_flow_m3s,max_pred_sediment_flux_kg_s
low,2022,94.3851667542065,1526.9629515757665,299.2934004128821,484.1967756138276,1073.8424941901858,4041.0515827557115
low,2023,67.4810066970025,384.28645904061506,213.9808685216974,121.85643678355373,225.75558910835176,130.72541324233865
normal,2022,341.0244205463923,13962.465851881218,1081.3813436909954,4427.468877435698,1321.3107553379134,5037.8401667174
normal,2023,195.57967646955956,13961.67834392397,620.1790857101711,4427.2191603005995,741.5397740528146,5037.8401667174
high,2022,965.7636040599075,106166.38390317075,3062.4162990230448,33665.139492380375,4803.25359849741,44309.22042790483
high,2023,1284.4882313881758,118713.37109201093,4073.0854622912725,37643.76303019119,4803.25359849741,44309.22042790483
