depth_m,wind_speed_m_s,current_speed_m_s,wind_current_angle_deg,draft_m,barrel_angle_deg,pipe_1_angle_deg,pipe_2_angle_deg,pipe_3_angle_deg,pipe_4_angle_deg,anchor_angle_deg,excursion_radius_m,chain_state,suspended_chain_m,grounded_chain_m,chain_horizontal_span_m,chain_vertical_rise_m,chain_horizontal_tension_n,anchor_vertical_tension_n,wind_force_n,buoy_current_force_n,closure_error_m
16.0,12.0,0.0,0.0,1.6453692647037987,0.08766965180488552,0.08681773387794994,0.0869795154172582,0.08714190102923708,0.08730489410351357,0.0,13.730253463006731,partly grounded,9.682579797181,12.367420202819,13.722645336688936,9.354636523808198,63.83353235331623,0.0,63.83353235331623,0.0,8.482103908136196e-11
16.0,12.0,0.0,45.0,1.6453692647037987,0.08766965180488552,0.08681773387794994,0.0869795154172582,0.08714190102923708,0.08730489410351357,0.0,13.730253463006731,partly grounded,9.682579797181,12.367420202819,13.722645336688936,9.354636523808198,63.83353235331623,0.0,63.83353235331623,0.0,8.482103908136196e-11
16.0,12.0,0.0,90.0,1.6453692647037987,0.08766965180488552,0.08681773387794994,0.0869795154172582,0.08714190102923708,0.08730489410351357,0.0,13.730253463006731,partly grounded,9.682579797181,12.367420202819,13.722645336688936,9.354636523808198,63.83353235331623,0.0,63.83353235331623,0.0,8.482103908136196e-11
16.0,12.0,0.0,135.0,1.6453692647037987,0.08766965180488552,0.08681773387794994,0.0869795154172582,0.08714190102923708,0.08730489410351357,0.0,13.730253463006731,partly grounded,9.682579797181,12.367420202819,13.722645336688936,9.354636523808198,63.83353235331623,0.0,63.83353235331623,0.0,8.482103908136196e-11
16.0,12.0,0.0,180.0,1.6453692647037987,0.08766965180488552,0.08681773387794994,0.0869795154172582,0.08714190102923708,0.08730489410351357,0.0,13.730253463006731,partly grounded,9.682579797181,12.367420202819,13.722645336688936,9.354636523808198,63.83353235331623,0.0,63.83353235331623,0.0,8.482103908136196e-11
16.0,12.0,0.5,0.0,1.6553001253050814,0.5511235598172786,0.5047897128592398,0.5120455909987476,0.5193283370698082,0.5266381002579543,0.0,15.904948470844143,partly grounded,11.322512447259689,10.727487552740312,15.859327502739578,9.344908199681063,418.3350455965852,0.0,62.04597744508534,309.5411234320502,8.819256436254364e-11
16.0,12.0,0.5,45.0,1.6548886740872477,0.5298784547794886,0.48402011969082437,0.49119280668451276,0.4983932572282657,0.5056215808095503,0.0,15.844434016028597,partly grounded,11.254567451037207,10.795432548962793,15.800644683137138,9.34530328938374,402.54157227168844,0.0,62.120038664295414,309.4641820543153,-2.2509993868879974e-11
16.0,12.0,0.5,90.0,1.653805532099444,0.47437948726787454,0.42946186064369724,0.4364654477176463,0.443498438774649,0.4505608543672278,0.0,15.67783358849536,partly grounded,11.075702800551543,10.974297199448458,15.638843328766068,9.346346725758728,361.42274809697926,0.0,62.31500422210007,309.26163450259605,-3.0105695714155445e-11
16.0,12.0,0.5,135.0,1.6525523611260473,0.41087653476135816,0.36629717003600953,0.37322801106688475,0.3801873552657666,0.38717522585940967,0.0,15.470250244021635,partly grounded,10.86876041379214,11.18123958620786,15.436784164325665,9.347559850216175,314.6762421427939,0.0,62.54057499731148,309.02729153057084,-5.864819740963867e-11
16.0,12.0,0.5,180.0,1.6519635848945704,0.3812655298980054,0.3364557547993665,0.3434180414504389,0.35040618127388334,0.3574203182438434,0.0,15.366458028955062,partly grounded,10.771532851715158,11.278467148284843,15.335583948271314,9.34813191798963,293.0196716580668,0.0,62.64655471897733,308.9171903752847,2.063700321741635e-10
16.0,12.0,1.0,0.0,1.6792112198469156,1.933755174060404,1.7544689460691785,1.7824686106216037,1.810568990938153,1.8387706125254024,0.0,18.073970201767686,partly grounded,15.271071007552774,6.778928992447227,17.91482258746,9.323325114310038,1500.6912960623995,0.0,57.7419804275552,1256.0499924454928,4.25330881625996e-11
16.0,12.0,1.0,45.0,1.6788926706094087,1.912103054996417,1.7330460502359613,1.761002277600918,1.7890594380893763,1.8172180449037547,0.0,18.054659852798178,partly grounded,15.218467379708315,6.831532620291686,17.897389949711048,9.323584231632129,1484.1465611383833,0.0,57.79931929030643,1255.8117176158378,-1.1125678156531649e-10
16.0,12.0,1.0,90.0,1.6781012539265991,1.8585558083573361,1.6799696987652448,1.707834205119652,1.7357998160681527,1.763867028857812,0.0,18.005993811168484,partly grounded,15.08777678701296,6.962223212987041,17.85337200733218,9.324231545335346,1443.2906211878915,0.0,57.941774293212156,1255.2197379370962,2.6254554086335702e-11
16.0,12.0,1.0,135.0,1.6772755259777516,1.8030587687013042,1.6248046905820746,1.6525998031537583,1.680495544192894,1.7084924223465567,0.0,17.954133378173093,partly grounded,14.951420203453349,7.098579796546652,17.80633593457615,9.324912244662894,1401.041125064363,0.0,58.090405324004706,1254.6020934313583,-1.4941825554615207e-10
16.0,12.0,1.0,180.0,1.6769225687110019,1.7794515132586515,1.6012864927154882,1.6290607238676877,1.656935141124265,1.6849102690015882,0.0,17.931616294268238,partly grounded,14.89313460575292,7.156865394247081,17.785873336312754,9.325204843779153,1383.0992718252164,0.0,58.15393763201966,1254.3380813958295,1.396749382820417e-10
16.0,12.0,1.5,0.0,1.7096928757588565,4.2139050752813025,3.8227485606716787,3.883841704367603,3.945139593114303,4.006643061915938,0.0,19.42394002405557,partly grounded,20.304659209566147,1.745340790433854,19.077382392625136,9.30234561325345,3349.3431605701735,0.0,52.255282363405826,2877.413109902155,-1.1834444535452349e-10
