scenario,year,pred_water_volume_1e8_m3,pred_sediment_mass_1e4_t,pred_mean_flow_m3s,pred_mean_sediment_flux_kg_s,max_pred_flow_m3s,max_pred_sediment_flux_kg_s
low,2022,342.23824008078776,20453.77684862399,1085.2303401851464,6485.8500915220675,2917.1086170886338,25235.67011673665
low,2023,360.81882370610964,22417.055955970805,1144.1489843547363,7108.401812522453,3075.1216173324433,27674.43609486602
normal,2022,449.1892246825069,32301.424180395592,1424.3696876030788,10242.714415396878,3828.7181400751415,39853.18168620198
normal,2023,473.5763240050041,35401.91323433695,1501.7006722634578,11225.873044881073,4036.1109114162946,43704.57866384984
high,2022,727.1467726409413,72945.1474563016,2305.767290211001,23130.75452064358,6197.922581235701,89999.01052248832
high,2023,766.6245686164833,79946.8706609294,2430.9505600471944,25350.98638411003,6533.6496558474555,98696.4821534075
